"","Geographic.Type","Name","Prosperity.Zone","Prosperity.Zone.Sub.Region","Peer.County.Type","X2018.Estimate","Traditional.Schools","Charter..Private..Home.Schools","Median.Household.Income","Child.Poverty.Rate","Households.with.Broadband","NC.Pre.K.Participation.Rate..goal..75..","College.and.Career.Ready.in.Reading..goal..73..","College.and.Career.Ready.in.Math..goal..86..","High.School.Graduation.Rate..goal..95..","FAFSA.Completion.Rate..goal..80..","Chronic.Absenteeism.Rate..goal..11..","AP.Participation.Rate","Enroll.in.Postsecondary.within.12.months","Persist.to.2nd.Year","Graduate.within.6.years","Students.per.School.Counselor","ApprenticeshipNC","NCCC.Basic.Skills.Enrollments","NCCC.Continuing.Education.Enrollments","Disconnected.Youth.Rate","Total.Graduates..2018.","X..Enrolled.in.Charter.Schools","X..Enrolled.in.Private.Schools","X..Enrolled.in.Home.Schools","County","Fall.2019","Percent_Ages_18_34","Percent_No_Int__Access","Percent_Poverty","Percent_Lim__English","Percent_No_Comp__Devices","Availability","Adoption","Percent_Pop__No_Prov_","Percent_Pop__25_3","Percent_Pop__100_20","AreaType","Year","Population","URBAN_RURAL","METRO_NONMETRO","CENTRAL_OUTLYING"
"1","County","Alamance County","Piedmont-Triad","Greensboro","Suburban",166638,22579,5708,50480,0.2,0.76,0.42,0.37,0.34,0.83,0.55,0.2,0.17,0.57,0.74,0.53,426,739,6843,34670,0.092,8688,1767,1636,2305,"Alamance","3,041",22.4099491829414,20.4623862376871,16.8188629465029,2.70063535178507,13.0598354641815,75.4750355021345,46.7280191335517,0.445245606128887,98.7369686044765,98.6468379149767,"County",2020,171415,"Urban","Metropolitan","Central"
"2","County","Alexander County","Northwest","Hickory","Rural Metro",38303,4746,927,49138,0.2,0.7,0.45,0.48,0.46,0.83,0.55,0.1,0.11,0.6,0.81,0.54,297,300,3422,22503,0.106,2073,0,134,793,"Alexander","385",19.1168943128856,26.9712869844046,14.9183171086494,1.39192537530972,21.3671476461157,42.4523895030378,30.0104303555643,8.49195513077932,86.87923326105,85.5941959146521,"County",2020,36444,"Urban","Metropolitan","Outlying"
"3","County","Alleghany County","Northwest","Boone-Wilkesboro","Rural Non-Metro",11422,1332,139,39735,0.3,0.71,0.81,0.42,0.45,0.89,0.57,0.16,0,0.54,0.76,0.51,333,12,1740,8809,0.127,5225,0,31,108,"Alleghany","112",14.7543971566573,26.9911504424779,24.6359447004608,2.7180783817952,22.2713864306785,78.8791478017736,8.94148832261016,4.02437931343551,94.6311732544591,94.6311732544591,"County",2020,10888,"Rural","",""
"4","County","Anson County","Southwest","Charlotte","Rural Metro",25288,3148,296,38023,0.31,0.69,1.03,0.34,0.26,0.83,0.45,0.28,0,0.43,0.7,0.46,350,3322,12019,64398,0.049,12162,0,10,286,"Anson","268",23.322532205801,26.5762925598991,19.8005880097149,2.04918032786885,21.374527112232,54.4086848269462,21.9440011666569,0.67934236443301,86.3930538248181,54.5845560155967,"County",2020,22055,"Rural","",""
"5","County","Ashe County","Northwest","Boone-Wilkesboro","Rural Non-Metro",27606,2946,617,41864,0.26,0.69,0.99,0.56,0.53,0.86,0.56,0.1,0.12,0.67,0.76,0.61,327,12,1740,8809,0.053,5225,0,32,585,"Ashe","334",16.3704920480848,27.5137653536637,17.9501720161809,1.20288013553579,21.7450232952139,88.2551714821952,28.7504872382684,1.16952591772736,98.3028961446228,91.6325401217487,"County",2020,26577,"Rural","",""
"6","County","Avery County","Northwest","Boone-Wilkesboro","Rural Non-Metro",18057,1910,527,41701,0.25,0.67,1.63,0.51,0.49,0.9,0.67,0.18,0.14,0.54,0.75,0.6,273,12,1740,8809,0.011,5225,147,70,310,"Avery","169",21.4787726415633,26.7496584180962,14.4473332864872,1.44223470472142,20.9351753453773,62.1116001784614,25.8062521021591,2.9305912596401,96.2239360182805,67.6663810339903,"County",2020,17806,"Rural","",""
"7","County","Beaufort County","Northeast","Greenville","Rural Non-Metro",47475,6370,1447,46411,0.27,0.65,0.62,0.4,0.38,0.83,0.4,0.18,0.08,0.54,0.75,0.44,375,347,2779,19098,0.045,8237,423,411,613,"Beaufort","689",17.484071714328,30.9857697283312,19.1905139016716,1.30401034928849,21.0349288486417,62.9506552369461,23.3272870929012,2.3152573334183,89.3434439983857,68.4551498544999,"County",2020,44652,"Rural","",""
"8","County","Bertie County","Northeast","Greenville","Rural Non-Metro",19709,2078,590,35433,0.32,0.56,0.93,0.33,0.24,0.78,0.56,0.19,0,0.53,0.74,0.4,346,347,2779,19098,0.063,8237,77,371,142,"Bertie","248",20.9733251883527,39.3430290872618,22.9614670887458,0.22567703109328,28.4227683049147,53.7019985672396,7.51304934359072,3.46368127825081,82.9759276779144,80.3479449174813,"County",2020,17934,"Rural","",""
"9","County","Bladen County","Sandhills","Fayetteville-Lumberton","Rural Non-Metro",34566,4120,1132,36976,0.44,0.65,0.88,0.34,0.25,0.92,0.47,0.16,0.04,0.51,0.69,0.41,375,1621,6792,32293,0.13,5110,621,88,423,"Bladen","492",18.4883652081236,30.0257731958763,25.9807750075098,2.29095074455899,22.2938144329897,54.0327403210954,11.7097999746728,0.219945766797228,61.3708948478457,55.7457065381139,"County",2020,29606,"Rural","",""
"10","County","Brunswick County","Southeast","Wilmington","Rural Metro",137103,12383,3500,60163,0.2,0.81,0.38,0.41,0.39,0.85,0.51,0.18,0.07,0.53,0.71,0.47,399,254,1943,14610,0.062,6301,1276,539,1685,"Brunswick","1,448",14.8565347627306,14.4893593479143,12.8797093499328,1.20975177958913,9.10264448788404,77.5350479154031,41.5532339837911,1.32952077284794,95.1492237149063,95.1038825224329,"County",2020,136693,"Urban","Metropolitan","Central"
