OBJECTID_1,AREA,PERIMETER,CB_,CB_ID,FIPS,NAME,NAME_LOCAS,DOT_DISTRI,DOT_DIVISI,DOT_COUNTY,COUNTY_100,DOT_GROUP_,ACRES,ABBR_5CHAR,ABBR_4CHAR,ABBR_2CHAR,Z_MEAN,Z_MIN,Z_MAX,Z_ZONE,POP1990,POP1996,POP2000PRJ,POP2010PRJ,BRITH94RAT,COG_NAME,COG_REGION,HWY_PATROL,SCHS_PERIN,EDIS_REGIO,DENR_DISTR,DENR_COUNT,CO_CENSUS,DIV_CONTAC,CO_WIKIPED,Shape_Leng,OBJECTID,FIPS_1,Name_1,Percent_Pop__25_3,Percent_Pop__100_20,Percent_Pop__Fiber,Up_Down_Ratio,Hhld__Density,Percent_Age_Home,Percent_Pop__No_Prov_,Percent_Pop__DSL_Only,Availability,Percent_Bbnd__Sub,Percent_Ages_18_34,Percent_Bach_,Percent_Hhlds__Children,Percent_Work_from_home,Percent_Ages_65_and_over,Percent_No_Int__Access,Percent_No_Comp__Devices,Percent_Poverty,Percent_Disability,Percent_Lim__English,Adoption,FIPS_num,YEAR,Sort,Shape__Area,Shape__Length
1,8116710000,542988,17,97,139,PASQUOTANK,Pasquotank,1,1,69,70,"CURR,CAMD,PASQ,PERQ",186334,PASQU,PASQ,PS,7,0,24,0,31298,33501,34844,37715,14.8,Albemarle,R,Troop A,6,Northeast,Washington,70,http://quickfacts.census.gov/qfd/states/37/37139.html,http://www.ncdot.org/doh/operations/division1,http://en.wikipedia.org/wiki/Pasquotank_County%2C_North_Carolina,542987.739221,31,139,Pasquotank,99.8968371788743,99.8968371788743,7.81018040912865,0.125,64.4789777678001,2.25524167498679,0.0226454973202828,0.08051732380545,72.723572961551,60.2228450338369,24.3488595559601,20.3567799480637,32.0801148403855,3.01555835886346,15.607141050928,26.481646045526,18.8119488686855,18.1055123617874,15.1177134458413,1.27828286280675,48.4646687276167,139,2017,2,8116709356.38525,542987.739331949
2,20359600000,897288,18,15,83,HALIFAX,Halifax,1,4,41,42,HALI,467393,HALIF,HALI,HA,143,18,393,100,55516,57700,58760,59700,16.2,Upper Coastal Plain,L,Troop A,6,Northeast,Raleigh,42,http://quickfacts.census.gov/qfd/states/37/37083.html,http://www.ncdot.org/doh/operations/division4,http://en.wikipedia.org/wiki/Halifax_County%2C_North_Carolina,897287.796539,74,083,Halifax,83.8121223932957,60.5262132137985,1.60592477099981,0.125,29.2879417962747,2.61175288799598,3.00721106996687,22.5725979341259,53.8675714037075,41.4627245720753,19.6347992351816,13.9813217210309,28.3774225491583,1.99672494849717,18.9770554493308,37.3084358938087,26.6138539161598,26.7501523581104,20.6613356386428,0.429103597868628,14.9619338682523,83,2017,2,20359623194.6659,897287.791788682
3,21111600000,718287,19,16,193,WILKES,Wilkes,3,11,96,97,"ASHE,WILK",484656,WILKE,WILK,WL,1496,871,4091,2500,59393,62438,63852,64906,12.6,High Country,D,Troop F,2,Advantage West,Winston-Salem,97,http://quickfacts.census.gov/qfd/states/37/37193.html,http://www.ncdot.org/doh/operations/division11,http://en.wikipedia.org/wiki/Wilkes_County%2C_North_Carolina,718287.355498,9,193,Wilkes,99.2665072328511,99.1119342043864,69.8043047130191,0.0666666666666667,36.8100277690059,2.32551179217048,0.0962435837610826,0.791822211852543,87.6457712133033,59.0455609580407,17.9131703757753,15.3980018016542,28.4927066450567,2.78782181081863,19.9854067858446,28.8204574104088,22.0637493246894,20.8562345880745,18.6556805764744,1.47307761570322,28.0531409590289,193,2017,2,21111614008.7053,718287.355272263
4,8742920000,444676,20,17,189,WATAUGA,Watauga,2,11,94,95,"AVER,CALD,WATA",200710,WATAU,WATA,WT,3316,1340,5910,5000,36952,40607,42397,45325,9.4,High Country,D,Troop F,2,Advantage West,Winston-Salem,95,http://quickfacts.census.gov/qfd/states/37/37189.html,http://www.ncdot.org/doh/operations/division11,http://en.wikipedia.org/wiki/Watauga_County%2C_North_Carolina,444675.907997,24,189,Watauga,97.6251814223512,96.9992743105951,38.7028301886792,0.0666666666666667,65.0475823979158,3.06564077903342,1.48584905660377,1.51487663280116,76.2254653237879,69.9375338153559,40.8884146683888,41.6658380564118,19.7186562392406,7.68031024743919,14.8312461391588,16.5166494515764,12.2817372485367,28.3118564775172,11.1937768402019,0.304953027396587,76.0486692263576,189,2017,2,8742915456.87854,444675.906616669
5,9170270000,443358,21,98,143,PERQUIMANS,Perquimans,1,1,71,72,"CURR,CAMD,PASQ,PERQ",210520,PERQU,PERQ,PQ,9,0,53,0,10447,10716,10945,11352,12.1,Albemarle,R,Troop A,6,Northeast,Washington,72,http://quickfacts.census.gov/qfd/states/37/37143.html,http://www.ncdot.org/doh/operations/division1,http://en.wikipedia.org/wiki/Perquimans_County%2C_North_Carolina,443357.891177,59,143,Perquimans,92.0953017145402,91.3976100348846,4.03028278779782,0.08,23.8051953388499,3.6305018222596,2.87241148964596,4.95064202479032,61.8377062632439,49.4389663379803,15.8003850140678,19.6888624653191,25.5865351921115,6.16757176105508,25.7885384273656,27.4566473988439,19.9081944916695,18.84274103348,16.5343717238281,1.10506630397824,30.664031748971,143,2017,2,9170272013.45581,443357.891443327
6,6513300000,438894,22,99,41,CHOWAN,Chowan,3,1,20,21,"CHOW,WASH",149525,CHOWA,CHOW,CO,14,0,52,0,13506,14140,14448,15196,14.3,Albemarle,R,Troop A,6,Northeast,Washington,21,http://quickfacts.census.gov/qfd/states/37/37041.html,http://www.ncdot.org/doh/operations/division1,http://en.wikipedia.org/wiki/Chowan_County%2C_North_Carolina,438894.333545,61,041,Chowan,91.166253101737,86.7564693371145,0.198511166253102,0.08,34.2256935972971,1.30244036194132,1.4959234314073,10.0531726338178,60.9044977968913,47.8570218532949,18.044537230341,18.95730080061,30.4421480603083,3.85046728971963,22.6374391092554,33.9149584956802,22.0904624767068,22.7908297253176,15.4468085106383,0.796205319329155,28.9941813370608,41,2017,2,6513301211.20313,438894.332370045
7,6899540000,433058,23,18,11,AVERY,Avery,2,11,5,6,"AVER,CALD,WATA",158392,AVERY,AVER,AV,3574,1571,6167,5000,14867,15205,15410,15428,13.3,High Country,D,Troop G,2,Advantage West,Asheville,6,http://quickfacts.census.gov/qfd/states/37/37011.html,http://www.ncdot.org/doh/operations/division11,http://en.wikipedia.org/wiki/Avery_County%2C_North_Carolina,433058.393672,55,011,Avery,95.9682937956204,66.5830291970803,18.1170164233577,0.12,27.2171557769325,1.66548547129695,2.50912408759124,1.52258211678832,64.6336528345721,50.9144981412639,21.7222697462218,20.241965973535,22.9144981412639,3.44516323153302,20.5588822355289,31.1524163568773,24.0594795539033,14.6590445079624,20.5683882688814,1.56133828996283,27.6021950927367,11,2017,2,6899536021.51386,433058.393709668
8,9415390000,452169,24,19,197,YADKIN,Yadkin,1,11,98,99,"SURR,YADK,ALLE",216148,YADKI,YADK,YD,970,649,1767,2500,30488,34464,36525,40209,12.6,Northwest Piedmont,I,Troop E,2,Piedmont Triad,Winston-Salem,99,http://quickfacts.census.gov/qfd/states/37/37197.html,http://www.ncdot.org/doh/operations/division11,http://en.wikipedia.org/wiki/Yadkin_County%2C_North_Carolina,452168.685033,8,197,Yadkin,99.2534349932491,99.0866491938686,61.2633362454663,0.2,46.354979918372,1.35538708936366,0.235618034045482,0.677732772085881,88.1317243855196,55.8920172669287,18.2048909451421,12.0283196505235,28.9736486051156,4.6411856474259,18.7072042300066,30.0882675085368,23.5422975323755,17.2879366011154,16.8034315553898,1.35944848914374,33.9306843588239,197,2017,2,9415387761.44666,452168.685466374
9,34291200000,947584,25,20,55,DARE,Dare,1,1,27,28,DARE,787218,DARE,DARE,DR,1,0,87,0,22746,26516,29177,36327,12.9,Albemarle,R,Troop A,6,Northeast,Washington,28,http://quickfacts.census.gov/qfd/states/37/37055.html,http://www.ncdot.org/doh/operations/division1,http://en.wikipedia.org/wiki/Dare_County%2C_North_Carolina,947584.365979,41,055,Dare,99.3240809994737,99.315770519959,1.70364830050694,0.125,39.8101719355529,1.74394867308253,0.202221668190255,0.482007811850744,69.8359780397567,77.751572327044,17.1184909070372,29.8341069933795,25.9171907756813,6.16048222087043,19.2561843442901,11.2945492662474,7.19994758909853,8.85101548075557,13.924912738727,1.57232704402516,67.242476221274,55,2017,2,34291229805.5693,947584.366710313
10,11495600000,490300,26,21,67,FORSYTH,Forsyth,2,9,33,34,"FORS,STOK",263903,FORSY,FORS,FO,872,617,1126,1000,265878,284157,294822,314364,14.7,Northwest Piedmont,I,Troop E,2,Piedmont Triad,Winston-Salem,34,http://quickfacts.census.gov/qfd/states/37/37067.html,http://www.ncdot.org/doh/operations/division9,http://en.wikipedia.org/wiki/Forsyth_County%2C_North_Carolina,490299.617733,11,067,Forsyth,99.9776779782626,99.9776779782626,33.1280061651298,0.2,355.513592106354,3.24794879398972,0,0.0223220217373974,85.8220360577818,67.245799506554,22.6861076875465,33.8132046794587,30.740444652727,4.99097505723873,14.8055445458544,19.0128323524142,13.3113258259707,18.7115716849429,10.4905654178485,2.58369974225028,62.4896677749451,67,2017,2,11495592735.4525,490299.61771588
