County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.40%,1.40%,1.40%,1.40%,1.40%,1.50%,1.70%,1.70%,1.60%
Alamance,In-State,North Carolina,Fall,Student Headcount,228,222,225,223,237,247,264,294,308,302
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.70%,0.70%,0.70%,0.80%,0.80%,0.70%,0.60%,0.60%,0.60%
Alexander,In-State,North Carolina,Fall,Student Headcount,114,111,107,112,140,138,129,114,105,107
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.40%,0.30%,0.20%,0.20%,0.20%,0.20%,0.30%,0.20%,0.20%
Alleghany,In-State,North Carolina,Fall,Student Headcount,45,57,45,38,41,32,39,46,43,43
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,12,10,5,5,5,9,11,15,15,15
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.20%,1.00%,0.90%,0.90%,1.10%,1.00%,0.90%,0.90%,0.90%
Ashe,In-State,North Carolina,Fall,Student Headcount,200,193,161,150,148,182,168,164,171,180
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,0.80%,0.70%,0.80%,0.60%,0.50%,0.40%,0.40%,0.40%,0.50%
Avery,In-State,North Carolina,Fall,Student Headcount,125,126,113,124,97,87,73,75,79,87
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,20,18,17,14,11,20,28,28,34,30
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bertie,In-State,North Carolina,Fall,Student Headcount,5,6,3,4,4,1,3,3,1,1
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Bladen,In-State,North Carolina,Fall,Student Headcount,9,9,9,10,13,11,9,14,10,12
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.30%,0.30%,0.30%,0.30%,0.40%,0.40%,0.50%,0.50%
Brunswick,In-State,North Carolina,Fall,Student Headcount,32,37,47,51,47,59,63,79,85,94
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.30%,3.20%,3.10%,2.90%,2.80%,2.90%,2.90%,3.10%,2.90%,3.00%
Buncombe,In-State,North Carolina,Fall,Student Headcount,524,525,512,470,468,496,505,543,546,563
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.00%,2.10%,2.10%,1.90%,1.60%,1.70%,1.60%,1.70%,1.70%,1.60%
Burke,In-State,North Carolina,Fall,Student Headcount,315,340,346,306,275,295,276,293,317,305
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.90%,2.10%,2.40%,2.40%,2.20%,2.20%,2.20%,2.30%,2.40%,2.20%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,310,343,390,397,368,374,375,410,451,425
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.30%,2.40%,2.20%,2.00%,1.90%,2.00%,1.90%,1.80%,1.80%,1.80%
Caldwell,In-State,North Carolina,Fall,Student Headcount,365,391,366,334,317,340,333,318,339,348
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,6,10,11,13,14,12,12,14,12,11
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.40%,0.40%,0.40%,0.50%,0.50%,0.50%,0.50%
Carteret,In-State,North Carolina,Fall,Student Headcount,49,53,64,70,74,71,87,91,86,86
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Caswell,In-State,North Carolina,Fall,Student Headcount,11,13,14,14,18,20,20,24,18,12
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,4.20%,4.10%,4.00%,3.80%,3.40%,3.60%,3.70%,3.50%,3.30%,3.20%
Catawba,In-State,North Carolina,Fall,Student Headcount,667,668,652,625,571,622,649,625,614,601
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.40%,0.50%,0.60%,0.80%,0.80%,0.80%,0.80%,0.80%,0.90%
Chatham,In-State,North Carolina,Fall,Student Headcount,51,64,82,97,134,138,142,148,145,173
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%
Cherokee,In-State,North Carolina,Fall,Student Headcount,23,23,34,32,30,26,24,22,21,20
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%
Chowan,In-State,North Carolina,Fall,Student Headcount,3,5,8,3,6,5,3,9,7,6
Clay,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Clay,In-State,North Carolina,Fall,Student Headcount,21,19,15,16,17,18,16,14,12,14
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.30%,1.30%,1.30%,1.20%,1.10%,1.20%,1.10%,1.10%,1.00%
Cleveland,In-State,North Carolina,Fall,Student Headcount,224,205,208,211,201,190,202,202,200,198
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%
Columbus,In-State,North Carolina,Fall,Student Headcount,13,15,17,17,21,26,23,18,23,16
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.60%,0.60%,0.50%,0.60%,0.50%,0.40%,0.40%,0.30%
Craven,In-State,North Carolina,Fall,Student Headcount,86,82,93,102,84,99,88,71,68,50
Cumberland,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.10%,1.10%,1.10%,1.20%,1.10%,1.20%,1.10%,1.10%,1.00%,1.10%
Cumberland,In-State,North Carolina,Fall,Student Headcount,175,170,181,191,182,208,184,187,190,212
Currituck,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%
Currituck,In-State,North Carolina,Fall,Student Headcount,18,21,25,22,18,16,24,31,26,23
Dare,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.20%,0.30%,0.30%,0.40%,0.40%,0.30%,0.30%
Dare,In-State,North Carolina,Fall,Student Headcount,44,42,42,38,48,59,77,70,56,57
Davidson,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.50%,1.60%,1.70%,2.00%,2.10%,2.10%,2.30%,2.20%,2.40%,2.20%
Davidson,In-State,North Carolina,Fall,Student Headcount,234,264,276,329,344,363,399,388,453,424
Davie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.70%,0.70%,0.60%,0.60%,0.60%,0.70%,0.70%,0.60%,0.60%
Davie,In-State,North Carolina,Fall,Student Headcount,115,111,118,105,96,109,117,122,114,113
Duplin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Duplin,In-State,North Carolina,Fall,Student Headcount,7,5,10,15,20,15,17,17,26,22
Durham,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.30%,1.20%,1.30%,1.30%,1.30%,1.30%,1.30%,1.30%,1.60%
Durham,In-State,North Carolina,Fall,Student Headcount,227,212,202,212,209,220,223,231,249,301
Edgecombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%
Edgecombe,In-State,North Carolina,Fall,Student Headcount,10,8,10,7,9,16,17,16,13,9
Forsyth,In-State,North Carolina,Fall,% of Total Student Headcount along County,5.70%,5.40%,5.20%,4.80%,4.50%,4.80%,5.10%,5.20%,5.00%,5.00%
Forsyth,In-State,North Carolina,Fall,Student Headcount,913,879,846,783,753,830,894,914,925,959
Franklin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.40%,0.40%,0.40%,0.40%
Franklin,In-State,North Carolina,Fall,Student Headcount,43,54,50,48,46,56,62,72,78,80
