countyname,urban_rural
Alamance,Urban
Alexander,Urban
Alleghany,Rural
Anson,Rural
Ashe,Rural
Avery,Rural
Beaufort,Rural
Bertie,Rural
Bladen,Rural
Brunswick,Urban
Buncombe,Urban
Burke,Urban
Cabarrus,Urban
Caldwell,Urban
Camden,Rural
Carteret,Rural
Caswell,Rural
Catawba,Urban
Chatham,Urban
Cherokee,Rural
Chowan,Rural
Clay,Rural
Cleveland,Rural
Columbus,Rural
Craven,Urban
Cumberland,Urban
Currituck,Urban
Dare,Rural
Davidson,Urban
Davie,Urban
Duplin,Rural
Durham,Urban
Edgecombe,Urban
Forsyth,Urban
Franklin,Urban
Gaston,Urban
Gates,Urban
Graham,Rural
Granville,Rural
Greene,Rural
Guilford,Urban
Halifax,Rural
Harnett,Rural
Haywood,Urban
Henderson,Urban
Hertford,Rural
Hoke,Urban
Hyde,Rural
Iredell,Urban
Jackson,Rural
Johnston,Urban
Jones,Urban
Lee,Rural
Lenoir,Rural
Lincoln,Urban
McDowell,Rural
Macon,Rural
Madison,Urban
Martin,Rural
Mecklenburg,Urban
Mitchell,Rural
Montgomery,Rural
Moore,Rural
Nash,Urban
New Hanover,Urban
Northampton,Rural
Onslow,Urban
Orange,Urban
Pamlico,Urban
Pasquotank,Rural
Pender,Urban
Perquimans,Rural
Person,Urban
Pitt,Urban
Polk,Rural
Randolph,Urban
Richmond,Rural
Robeson,Rural
Rockingham,Urban
Rowan,Urban
Rutherford,Rural
Sampson,Rural
Scotland,Rural
Stanly,Rural
Stokes,Urban
Surry,Rural
Swain,Rural
Transylvania,Rural
Tyrrell,Rural
Union,Urban
Vance,Rural
Wake,Urban
Warren,Rural
Washington,Rural
Watauga,Rural
Wayne,Urban
Wilkes,Rural
Wilson,Rural
Yadkin,Urban
Yancey,Rural
