County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.10%,1.00%,1.00%,1.00%,1.00%,1.10%,1.10%,1.00%,1.10%,1.00%
Alamance,In-State,North Carolina,Fall,Student Headcount,250,246,241,262,254,282,286,271,284,245
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,28,28,22,22,27,30,32,32,35,37
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,11,9,36,35,11,5,4,5,2,2
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,13,22,22,26,23,21,24,25,20,15
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Ashe,In-State,North Carolina,Fall,Student Headcount,13,14,12,6,6,7,14,15,15,16
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Avery,In-State,North Carolina,Fall,Student Headcount,5,6,6,6,5,7,4,8,6,7
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.50%,1.50%,1.50%,2.00%,1.40%,1.40%,1.50%,1.40%,1.50%,1.50%
Beaufort,In-State,North Carolina,Fall,Student Headcount,348,349,373,496,365,360,384,374,392,389
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.30%,0.40%,0.30%,0.30%,0.30%,0.20%,0.30%
Bertie,In-State,North Carolina,Fall,Student Headcount,64,62,76,74,91,78,78,72,63,70
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.50%,0.70%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%
Bladen,In-State,North Carolina,Fall,Student Headcount,52,50,112,166,34,45,43,40,40,50
