County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.50%,0.60%,0.50%,0.20%,0.40%,0.60%,0.60%,0.80%
Alamance,In-State,North Carolina,Fall,Student Headcount,15,12,9,8,6,3,6,9,9,13
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,,,,,,,,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,1,1,,,,,,,,1
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,,,,,,,0.20%,0.20%
Anson,In-State,North Carolina,Fall,Student Headcount,1,,,,,,,,3,3
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.10%,,,
Ashe,In-State,North Carolina,Fall,Student Headcount,,,,,,,1,,,
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,1.10%,1.10%,1.20%,1.10%,1.30%,1.30%,1.30%,1.00%,1.10%
Beaufort,In-State,North Carolina,Fall,Student Headcount,20,24,18,17,14,17,18,19,16,18
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.80%,3.20%,3.50%,3.50%,3.00%,3.30%,3.90%,2.90%,2.20%,1.60%
Bertie,In-State,North Carolina,Fall,Student Headcount,94,70,59,50,38,43,54,42,36,26
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.20%,0.20%,0.20%
Bladen,In-State,North Carolina,Fall,Student Headcount,3,2,2,2,1,3,2,3,3,3
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.20%,0.10%,0.10%,0.10%,0.30%,0.10%,,0.10%
Brunswick,In-State,North Carolina,Fall,Student Headcount,6,7,4,1,1,1,4,2,,1
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.10%,0.20%,0.10%
Buncombe,In-State,North Carolina,Fall,Student Headcount,2,2,1,1,1,2,3,2,4,2
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,,,,0.10%,0.10%,0.20%,0.10%,0.10%
Burke,In-State,North Carolina,Fall,Student Headcount,1,,,,,1,1,3,2,2
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.40%,0.50%,0.40%,0.50%,0.50%,0.20%,0.50%,0.90%,1.20%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,6,8,8,6,6,6,3,7,14,19
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,,,0.10%,0.10%,,0.10%,0.10%,0.20%
Caldwell,In-State,North Carolina,Fall,Student Headcount,1,,,,1,1,,2,1,3
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.90%,3.70%,4.10%,4.20%,3.60%,3.60%,3.50%,3.60%,3.30%,3.50%
