County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.30%,0.30%,0.30%,0.30%,0.30%,0.40%,0.40%,0.50%,0.50%
Alamance,In-State,North Carolina,Fall,Student Headcount,27,20,18,18,16,16,23,27,32,32
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
Alexander,In-State,North Carolina,Fall,Student Headcount,1,1,1,2,3,2,1,3,2,2
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,,,,,,,,,1,2
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.20%,0.30%,0.30%,0.20%,0.50%,0.30%,0.30%,0.30%
Anson,In-State,North Carolina,Fall,Student Headcount,17,15,14,18,16,14,27,21,21,21
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.00%,0.00%,0.00%,0.00%
Ashe,In-State,North Carolina,Fall,Student Headcount,,,,,,,2,3,1,1
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.20%,0.20%,0.30%,0.20%,0.20%,0.20%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,11,8,8,10,14,15,9,13,15,14
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.30%,0.40%,0.40%,0.30%,0.20%,0.10%,0.10%,0.10%
Bertie,In-State,North Carolina,Fall,Student Headcount,8,6,18,23,22,15,12,9,9,6
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.80%,1.80%,1.60%,1.30%,1.20%,1.00%,1.20%,1.00%,0.80%,0.80%
Bladen,In-State,North Carolina,Fall,Student Headcount,106,108,90,75,69,60,69,61,53,51
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.20%,0.20%,0.20%,0.30%,0.40%,0.40%,0.60%,0.50%,0.50%
Brunswick,In-State,North Carolina,Fall,Student Headcount,21,13,10,12,16,21,26,34,32,32
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.20%,0.20%,0.30%,0.30%,0.40%,0.40%,0.50%
Buncombe,In-State,North Carolina,Fall,Student Headcount,7,8,11,14,12,15,15,22,23,34
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.30%,0.30%,0.20%
Burke,In-State,North Carolina,Fall,Student Headcount,3,2,1,1,6,4,7,16,20,14
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.20%,0.30%,0.30%,0.20%,0.30%,0.60%,0.60%,0.70%,0.80%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,15,14,18,18,11,19,38,37,44,51
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.00%,0.00%,0.10%,0.20%,0.10%,0.10%,0.10%,0.20%,0.30%
Caldwell,In-State,North Carolina,Fall,Student Headcount,,1,2,6,9,6,6,6,11,16
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,1,1,5,5,5,4,2,5,7,6
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%
Carteret,In-State,North Carolina,Fall,Student Headcount,3,4,4,4,5,7,7,9,9,13
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.00%,0.00%,0.10%,0.10%
Caswell,In-State,North Carolina,Fall,Student Headcount,4,4,3,2,3,3,2,3,8,5
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.30%,0.30%,0.40%,0.20%,0.20%
Catawba,In-State,North Carolina,Fall,Student Headcount,4,7,7,8,8,15,18,23,14,14
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.30%,0.20%
Chatham,In-State,North Carolina,Fall,Student Headcount,3,4,6,5,8,8,8,12,16,10
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Cherokee,In-State,North Carolina,Fall,Student Headcount,,,1,3,1,1,1,1,1,1
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%
Chowan,In-State,North Carolina,Fall,Student Headcount,4,4,4,2,1,1,2,5,3,4
Clay,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,0.00%,0.00%,,0.00%,,
Clay,In-State,North Carolina,Fall,Student Headcount,,,,,1,1,,1,,
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%
Cleveland,In-State,North Carolina,Fall,Student Headcount,21,17,11,14,10,14,12,12,15,9
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,1.00%,1.20%,1.30%,1.10%,1.00%,0.80%,0.80%,0.70%,0.60%
Columbus,In-State,North Carolina,Fall,Student Headcount,45,57,68,76,68,60,46,50,42,40
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.50%,0.40%,0.50%,0.50%,0.50%,0.50%,0.60%,0.40%,0.50%
Craven,In-State,North Carolina,Fall,Student Headcount,33,27,25,28,30,30,30,37,28,31
Cumberland,In-State,North Carolina,Fall,% of Total Student Headcount along County,57.10%,56.60%,55.70%,51.20%,50.60%,48.10%,47.30%,46.00%,42.90%,42.10%
Cumberland,In-State,North Carolina,Fall,Student Headcount,"3,283","3,318","3,133","3,004","3,030","2,779","2,803","2,815","2,704","2,647"
Currituck,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,0.10%,0.10%
Currituck,In-State,North Carolina,Fall,Student Headcount,1,2,2,1,2,4,3,3,4,4
Dare,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%
Dare,In-State,North Carolina,Fall,Student Headcount,4,3,2,4,5,3,4,4,5,1
Davidson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.30%,0.30%,0.30%,0.40%,0.40%,0.50%,0.40%
Davidson,In-State,North Carolina,Fall,Student Headcount,13,10,9,16,18,20,22,26,31,26
Davie,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.00%,0.10%,0.00%,0.10%,0.10%,0.00%,,0.00%
Davie,In-State,North Carolina,Fall,Student Headcount,,,1,3,2,3,3,2,,3
Duplin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,1.00%,0.70%,0.70%,0.60%,0.60%,0.60%,0.50%,0.70%,0.80%
Duplin,In-State,North Carolina,Fall,Student Headcount,45,61,40,43,38,34,38,29,41,51
Durham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,0.80%,0.50%,0.70%,0.90%,1.10%,1.10%,1.40%,1.40%,1.60%
Durham,In-State,North Carolina,Fall,Student Headcount,49,48,30,40,51,64,65,83,91,100
Edgecombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.70%,0.60%,0.80%,0.90%,0.80%,0.70%,0.70%,0.80%,0.90%
Edgecombe,In-State,North Carolina,Fall,Student Headcount,31,40,35,46,54,48,43,41,50,55
Forsyth,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,1.00%,0.80%,0.70%,0.70%,1.00%,1.10%,1.30%,1.30%,1.50%
Forsyth,In-State,North Carolina,Fall,Student Headcount,52,57,45,41,44,60,64,80,80,95
Franklin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.10%,0.10%,0.20%,0.20%,0.20%,0.30%,0.30%
Franklin,In-State,North Carolina,Fall,Student Headcount,14,11,10,8,5,12,9,12,20,18
Gaston,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.40%,0.50%,0.50%,0.40%,0.40%,0.50%,0.50%,0.40%
Gaston,In-State,North Carolina,Fall,Student Headcount,25,23,25,32,28,21,22,28,31,27
Gates,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.00%,,,
Gates,In-State,North Carolina,Fall,Student Headcount,1,1,5,6,4,3,1,,,
Graham,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,0.00%,0.00%,,,0.00%,0.00%,0.00%
Graham,In-State,North Carolina,Fall,Student Headcount,,,,1,1,,,3,3,1
Granville,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.30%
Granville,In-State,North Carolina,Fall,Student Headcount,1,2,,5,5,7,13,12,11,17
Greene,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%
Greene,In-State,North Carolina,Fall,Student Headcount,7,7,4,5,11,12,11,10,11,16
Guilford,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.50%,1.80%,1.80%,2.00%,2.50%,2.50%,2.50%,2.90%,2.60%
Guilford,In-State,North Carolina,Fall,Student Headcount,72,87,100,105,122,146,151,152,182,166
Halifax,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.60%,0.50%,0.60%,0.50%,0.40%,0.40%,0.40%,0.40%
Halifax,In-State,North Carolina,Fall,Student Headcount,34,34,33,28,33,28,26,27,26,27
Harnett,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.80%,2.90%,2.90%,3.90%,3.90%,4.10%,4.80%,5.20%,4.90%,4.70%
Harnett,In-State,North Carolina,Fall,Student Headcount,161,171,164,230,236,235,287,316,308,294
Haywood,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
Haywood,In-State,North Carolina,Fall,Student Headcount,2,,,3,2,1,2,2,3,8
Henderson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.30%
Henderson,In-State,North Carolina,Fall,Student Headcount,1,,3,5,4,4,6,7,11,16
Hertford,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.40%,0.50%,0.50%,0.40%,0.30%,0.20%,0.30%,0.30%
Hertford,In-State,North Carolina,Fall,Student Headcount,14,20,24,31,27,22,17,14,17,21
Hoke,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.90%,2.50%,2.50%,3.10%,3.60%,3.40%,3.80%,4.00%,3.70%,3.90%
Hoke,In-State,North Carolina,Fall,Student Headcount,167,148,143,184,215,197,223,246,232,245
Hyde,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.00%,0.00%,0.00%,,,,0.00%,0.00%
Hyde,In-State,North Carolina,Fall,Student Headcount,3,2,2,1,1,,,,1,1
Iredell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%
Iredell,In-State,North Carolina,Fall,Student Headcount,14,15,18,18,18,19,19,20,20,18
Jackson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,0.10%,0.10%
Jackson,In-State,North Carolina,Fall,Student Headcount,1,1,1,2,1,3,4,3,4,4
Johnston,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.10%,1.20%,1.00%,1.10%,1.30%,1.40%,1.30%,1.60%,1.60%,1.70%
Johnston,In-State,North Carolina,Fall,Student Headcount,61,69,59,67,75,79,79,96,100,109
Jones,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%
Jones,In-State,North Carolina,Fall,Student Headcount,7,2,2,2,3,3,2,5,4,4
Lee,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.20%,1.40%,1.30%,1.30%,1.50%,1.30%,1.00%,0.90%,0.90%,1.10%
Lee,In-State,North Carolina,Fall,Student Headcount,71,85,73,79,91,76,61,56,58,68
Lenoir,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.60%,0.60%,0.70%,0.80%,0.70%,0.70%,0.60%,0.60%,0.60%
Lenoir,In-State,North Carolina,Fall,Student Headcount,30,36,36,41,48,42,42,34,37,38
Lincoln,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.10%,0.10%,0.10%,0.00%,0.20%,0.10%,0.10%,0.10%
Lincoln,In-State,North Carolina,Fall,Student Headcount,2,3,3,5,7,2,14,5,6,5
Macon,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,0.00%,0.00%,,,,0.00%,,
Macon,In-State,North Carolina,Fall,Student Headcount,1,,1,2,,,,1,,
Madison,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.00%,,,0.00%,,,,0.00%,0.00%
Madison,In-State,North Carolina,Fall,Student Headcount,,1,,,1,,,,1,1
Martin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.10%,0.20%,0.10%
Martin,In-State,North Carolina,Fall,Student Headcount,7,14,9,11,11,11,8,9,11,9
Mcdowell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%
Mcdowell,In-State,North Carolina,Fall,Student Headcount,1,1,1,1,3,5,7,6,5,3
Mecklenburg,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.30%,3.20%,3.20%,3.00%,3.20%,3.90%,4.10%,4.20%,4.70%,4.30%
Mecklenburg,In-State,North Carolina,Fall,Student Headcount,191,190,178,174,189,225,241,255,296,268
Mitchell,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.00%,,0.00%,0.00%,,,0.00%,0.00%
Mitchell,In-State,North Carolina,Fall,Student Headcount,,,1,,1,1,,,1,2
Montgomery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.10%
Montgomery,In-State,North Carolina,Fall,Student Headcount,6,3,3,5,7,6,6,12,14,7
Moore,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,0.80%,0.60%,0.70%,0.70%,0.70%,0.80%,0.90%,1.10%,1.20%
Moore,In-State,North Carolina,Fall,Student Headcount,44,44,34,41,44,42,47,53,69,77
Nash,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.50%,0.60%,0.70%,0.60%,0.80%,0.70%,0.90%,0.90%,0.80%
Nash,In-State,North Carolina,Fall,Student Headcount,33,32,36,39,36,49,43,57,59,53
New Hanover,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.80%,0.70%,0.70%,0.70%,0.90%,0.80%,0.70%,0.90%,1.00%
New Hanover,In-State,North Carolina,Fall,Student Headcount,43,46,39,41,41,50,49,44,57,63
Northampton,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%
Northampton,In-State,North Carolina,Fall,Student Headcount,14,14,9,12,12,9,10,10,13,9
Onslow,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.70%,0.70%,0.70%,0.60%,0.70%,0.80%,1.30%,1.20%
Onslow,In-State,North Carolina,Fall,Student Headcount,35,34,42,41,40,36,44,52,80,78
Orange,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%,0.30%,0.20%,0.30%,0.30%
Orange,In-State,North Carolina,Fall,Student Headcount,10,9,9,14,11,17,15,11,17,20
Pamlico,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%
Pamlico,In-State,North Carolina,Fall,Student Headcount,3,3,3,5,4,5,5,4,3,1
Pasquotank,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.30%,0.30%,0.30%,0.40%,0.30%,0.20%,0.20%
Pasquotank,In-State,North Carolina,Fall,Student Headcount,6,6,11,16,18,17,25,16,12,12
Pender,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.30%,0.40%,0.40%,0.30%,0.20%,0.40%,0.30%,0.40%,0.30%
Pender,In-State,North Carolina,Fall,Student Headcount,25,20,21,25,20,14,23,19,23,19
Perquimans,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%
Perquimans,In-State,North Carolina,Fall,Student Headcount,,1,1,1,3,6,6,6,5,3
Person,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.20%,0.20%,0.20%
Person,In-State,North Carolina,Fall,Student Headcount,8,10,9,10,9,12,8,11,13,10
Pitt,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,0.90%,0.90%,0.90%,1.00%,1.20%,1.20%,1.30%,1.40%,1.50%
Pitt,In-State,North Carolina,Fall,Student Headcount,52,51,49,54,60,69,72,82,86,92
Polk,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%
Polk,In-State,North Carolina,Fall,Student Headcount,,,1,,,1,2,1,1,3
Randolph,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.30%,0.30%,0.30%,0.40%
Randolph,In-State,North Carolina,Fall,Student Headcount,6,7,8,9,12,14,16,17,17,23
Richmond,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.50%,0.50%,0.50%,0.50%,0.40%,0.50%,0.70%,0.60%
Richmond,In-State,North Carolina,Fall,Student Headcount,19,19,29,32,29,28,25,31,42,36
Robeson,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.80%,3.90%,4.10%,3.90%,3.30%,3.20%,3.00%,3.00%,3.20%,3.10%
Robeson,In-State,North Carolina,Fall,Student Headcount,219,231,233,227,199,183,178,181,201,192
Rockingham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.30%,0.30%,0.20%,0.20%,0.30%,0.20%,0.20%,0.20%
Rockingham,In-State,North Carolina,Fall,Student Headcount,3,10,16,15,9,10,15,12,12,15
Rowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.20%,0.30%
Rowan,In-State,North Carolina,Fall,Student Headcount,15,19,19,18,19,20,20,16,14,20
Rutherford,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Rutherford,In-State,North Carolina,Fall,Student Headcount,6,7,5,3,2,2,4,6,9,4
Sampson,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.50%,2.00%,2.00%,2.10%,1.90%,1.80%,1.80%,1.90%,2.00%,1.90%
Sampson,In-State,North Carolina,Fall,Student Headcount,141,117,112,126,111,106,104,117,129,117
