County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.20%,1.30%,1.30%,1.30%,1.20%,1.20%,1.20%,1.20%,1.20%,1.30%
Alamance,In-State,North Carolina,Fall,Student Headcount,334,364,355,341,318,316,338,350,367,394
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.10%,0.10%,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,44,45,34,38,43,43,44,41,32,32
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,11,13,13,8,11,15,12,17,12,12
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%
Anson,In-State,North Carolina,Fall,Student Headcount,25,22,17,18,22,11,8,9,11,14
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Ashe,In-State,North Carolina,Fall,Student Headcount,38,36,36,37,22,25,23,30,28,36
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Avery,In-State,North Carolina,Fall,Student Headcount,17,21,16,21,22,24,21,18,19,24
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.20%,0.30%,0.30%,0.30%,0.30%,0.20%,0.20%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,65,69,66,67,76,74,72,72,67,74
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Bertie,In-State,North Carolina,Fall,Student Headcount,40,29,18,15,16,16,15,18,21,29
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Bladen,In-State,North Carolina,Fall,Student Headcount,60,44,42,37,37,36,39,40,39,38
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.60%
Brunswick,In-State,North Carolina,Fall,Student Headcount,131,126,123,130,128,136,146,155,153,174
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.60%,1.60%,1.80%,1.80%,1.80%,1.90%,1.80%,1.90%,1.80%,1.70%
Buncombe,In-State,North Carolina,Fall,Student Headcount,449,445,478,480,472,520,517,541,532,508
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.40%,0.40%,0.30%,0.30%,0.40%,0.40%,0.40%,0.40%
Burke,In-State,North Carolina,Fall,Student Headcount,132,124,115,100,83,79,99,102,117,119
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.50%,1.50%,1.50%,1.50%,1.40%,1.50%,1.60%,1.60%,1.70%,1.90%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,428,395,396,402,383,398,464,460,513,559
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.30%,0.40%,0.40%,0.50%,0.40%,0.40%,0.30%,0.30%,0.30%
Caldwell,In-State,North Carolina,Fall,Student Headcount,104,87,100,108,121,108,108,96,81,85
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,36,30,19,18,20,19,24,23,15,21
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,0.80%,0.70%,0.60%,0.70%,0.70%,0.70%,0.70%,0.70%,0.60%
Carteret,In-State,North Carolina,Fall,Student Headcount,222,219,200,168,179,187,209,205,194,181
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%
Caswell,In-State,North Carolina,Fall,Student Headcount,57,56,59,46,42,43,31,35,31,28
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.10%,0.90%,1.00%,1.00%,1.10%,1.00%,1.00%,1.00%,1.00%,1.00%
Catawba,In-State,North Carolina,Fall,Student Headcount,293,253,273,273,279,262,284,299,296,297
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.80%,0.70%,0.80%,0.80%,0.90%,1.00%,1.10%,1.10%,1.20%
Chatham,In-State,North Carolina,Fall,Student Headcount,188,209,198,203,221,237,280,316,324,360
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Cherokee,In-State,North Carolina,Fall,Student Headcount,29,23,24,29,32,33,29,27,22,20
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Chowan,In-State,North Carolina,Fall,Student Headcount,42,40,37,39,33,32,28,32,33,33
