County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.50%,1.50%,1.60%,1.50%,1.40%,1.50%,1.60%,1.70%,1.70%,1.70%
Alamance,In-State,North Carolina,Fall,Student Headcount,336,324,330,326,307,317,355,370,384,378
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,18,24,29,27,28,26,25,18,17,20
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,5,2,4,5,5,8,7,7,11,9
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,19,20,18,15,14,10,10,10,11,15
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Ashe,In-State,North Carolina,Fall,Student Headcount,22,22,22,18,13,18,25,28,30,30
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Avery,In-State,North Carolina,Fall,Student Headcount,10,9,8,10,12,15,21,19,15,15
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,27,30,29,34,36,37,40,37,42,42
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%
Bertie,In-State,North Carolina,Fall,Student Headcount,24,13,10,9,4,9,11,11,10,8
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Bladen,In-State,North Carolina,Fall,Student Headcount,13,17,19,15,16,17,18,14,17,19
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.50%
Brunswick,In-State,North Carolina,Fall,Student Headcount,73,87,91,88,91,97,91,94,99,104
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.00%,2.10%,2.30%,2.40%,2.50%,2.50%,2.40%,2.50%,2.40%,2.40%
Buncombe,In-State,North Carolina,Fall,Student Headcount,434,448,478,501,528,534,531,549,544,540
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.50%,0.60%,0.60%,0.50%,0.40%,0.40%,0.40%,0.40%
Burke,In-State,North Carolina,Fall,Student Headcount,109,109,111,126,126,112,96,94,95,98
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.50%,1.60%,1.60%,1.70%,1.70%,1.80%,1.90%,2.00%,2.00%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,279,311,329,341,354,365,383,431,449,451
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.40%,0.30%,0.40%,0.40%,0.40%,0.40%,0.30%
Caldwell,In-State,North Carolina,Fall,Student Headcount,66,70,84,80,67,79,84,79,81,74
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,11,9,8,8,8,12,11,16,15,18
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.50%,0.40%,0.40%,0.40%,0.40%,0.40%,0.50%,0.40%
Carteret,In-State,North Carolina,Fall,Student Headcount,92,84,101,90,85,90,88,91,104,95
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Caswell,In-State,North Carolina,Fall,Student Headcount,33,28,27,20,19,16,14,15,15,19
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.00%,1.10%,1.10%,1.10%,1.20%,1.20%,1.10%,1.10%,1.10%,1.00%
Catawba,In-State,North Carolina,Fall,Student Headcount,207,224,232,240,245,259,245,254,256,238
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.00%,0.90%,1.10%,1.20%,1.10%,1.30%,1.20%,1.30%,1.30%,1.30%
Chatham,In-State,North Carolina,Fall,Student Headcount,213,199,225,249,244,273,268,277,283,298
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Cherokee,In-State,North Carolina,Fall,Student Headcount,18,17,17,17,20,22,15,22,26,24
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Chowan,In-State,North Carolina,Fall,Student Headcount,17,16,17,18,19,19,19,17,19,15
Clay,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Clay,In-State,North Carolina,Fall,Student Headcount,6,5,6,7,6,8,14,14,14,14
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.50%,0.40%,0.50%,0.50%,0.60%,0.60%,0.60%,0.60%
Cleveland,In-State,North Carolina,Fall,Student Headcount,100,98,100,88,97,105,123,135,135,127
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%
Columbus,In-State,North Carolina,Fall,Student Headcount,30,25,20,23,26,27,38,40,37,39
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.40%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%
Craven,In-State,North Carolina,Fall,Student Headcount,105,94,105,106,105,105,104,102,115,118
Cumberland,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.20%,2.10%,2.20%,2.10%,2.00%,2.10%,1.90%,1.90%,1.70%,1.70%
Cumberland,In-State,North Carolina,Fall,Student Headcount,477,452,460,441,419,452,420,416,391,385
Currituck,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Currituck,In-State,North Carolina,Fall,Student Headcount,23,23,20,21,16,24,21,20,17,20
Dare,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.40%,0.40%,0.40%
Dare,In-State,North Carolina,Fall,Student Headcount,79,67,69,63,64,71,73,85,89,84
Davidson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,0.80%,0.90%,0.80%,0.80%,0.80%,0.80%,0.80%,0.90%,0.90%
Davidson,In-State,North Carolina,Fall,Student Headcount,177,175,183,174,176,168,169,175,197,209
Davie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.40%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%
Davie,In-State,North Carolina,Fall,Student Headcount,66,75,74,74,67,65,68,72,66,75
Duplin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Duplin,In-State,North Carolina,Fall,Student Headcount,22,27,32,37,37,44,54,51,46,39
Durham,In-State,North Carolina,Fall,% of Total Student Headcount along County,6.20%,6.20%,6.80%,6.80%,6.60%,6.50%,6.60%,6.70%,6.50%,6.90%
Durham,In-State,North Carolina,Fall,Student Headcount,"1,346","1,317","1,433","1,428","1,411","1,419","1,447","1,477","1,456","1,568"
Edgecombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Edgecombe,In-State,North Carolina,Fall,Student Headcount,33,30,27,23,21,23,23,27,29,31
Forsyth,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.60%,3.60%,3.90%,3.90%,3.80%,3.40%,3.10%,3.00%,2.80%,2.90%
Forsyth,In-State,North Carolina,Fall,Student Headcount,772,761,820,828,808,747,679,659,631,651
Franklin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.30%,0.20%,0.20%,0.20%,0.30%,0.40%
Franklin,In-State,North Carolina,Fall,Student Headcount,42,40,46,52,54,50,52,51,62,82
Gaston,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.20%,1.10%,1.20%,1.20%,1.20%,1.20%,1.30%,1.20%,1.10%,1.10%
Gaston,In-State,North Carolina,Fall,Student Headcount,256,240,246,260,256,256,280,264,249,255
Gates,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Gates,In-State,North Carolina,Fall,Student Headcount,8,10,8,9,8,6,5,4,2,1
Graham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Graham,In-State,North Carolina,Fall,Student Headcount,8,10,12,12,10,4,3,5,6,9
Granville,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.30%,0.30%,0.40%,0.40%,0.40%,0.30%,0.30%,0.30%
Granville,In-State,North Carolina,Fall,Student Headcount,54,54,59,65,75,85,80,73,72,65
Greene,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.00%
Greene,In-State,North Carolina,Fall,Student Headcount,21,19,13,7,10,9,11,13,13,11
Guilford,In-State,North Carolina,Fall,% of Total Student Headcount along County,5.90%,6.00%,6.10%,5.90%,6.00%,5.80%,5.80%,5.70%,5.50%,5.40%
Guilford,In-State,North Carolina,Fall,Student Headcount,"1,279","1,287","1,297","1,247","1,274","1,263","1,274","1,261","1,228","1,231"
Halifax,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%
Halifax,In-State,North Carolina,Fall,Student Headcount,60,67,69,59,56,55,60,64,67,63
Harnett,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.40%,0.40%,0.40%,0.40%,0.50%,0.50%,0.50%,0.50%,0.50%
Harnett,In-State,North Carolina,Fall,Student Headcount,102,86,77,78,85,98,108,103,112,113
Haywood,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Haywood,In-State,North Carolina,Fall,Student Headcount,45,54,50,41,43,39,38,46,43,52
Henderson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.60%,0.70%,0.60%,0.60%,0.60%,0.50%,0.50%,0.50%
Henderson,In-State,North Carolina,Fall,Student Headcount,122,129,133,139,125,132,124,110,105,112
Hertford,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Hertford,In-State,North Carolina,Fall,Student Headcount,16,16,16,15,14,16,12,13,15,20
Hoke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Hoke,In-State,North Carolina,Fall,Student Headcount,24,23,23,25,21,17,14,19,23,27
Hyde,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%
Hyde,In-State,North Carolina,Fall,Student Headcount,4,4,6,4,8,8,9,12,12,10
Iredell,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.30%,1.40%,1.40%,1.30%,1.40%,1.40%,1.30%,1.40%,1.40%
Iredell,In-State,North Carolina,Fall,Student Headcount,274,279,299,305,286,307,300,296,324,324
Jackson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Jackson,In-State,North Carolina,Fall,Student Headcount,33,35,32,34,32,39,43,44,37,41
Johnston,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.70%,0.80%,0.70%,0.80%,0.90%,0.90%,0.90%,1.00%,1.10%
Johnston,In-State,North Carolina,Fall,Student Headcount,140,155,163,153,166,190,198,201,222,251
Jones,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Jones,In-State,North Carolina,Fall,Student Headcount,8,7,4,5,6,6,6,5,4,4
Lee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.30%,0.30%
Lee,In-State,North Carolina,Fall,Student Headcount,82,91,84,91,79,87,90,84,75,72
Lenoir,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Lenoir,In-State,North Carolina,Fall,Student Headcount,58,47,53,46,42,48,48,52,50,51
Lincoln,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.50%,0.50%,0.50%,0.50%,0.60%,0.60%,0.60%,0.60%,0.50%
Lincoln,In-State,North Carolina,Fall,Student Headcount,97,110,110,106,104,120,127,132,132,117
Macon,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%
Macon,In-State,North Carolina,Fall,Student Headcount,19,21,27,31,30,33,27,21,24,27
Madison,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.10%
Madison,In-State,North Carolina,Fall,Student Headcount,19,10,18,16,19,17,13,13,7,12
Martin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Martin,In-State,North Carolina,Fall,Student Headcount,17,15,12,9,12,12,15,16,15,16
Mcdowell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.10%,0.20%,0.10%,0.10%,0.20%,0.10%,0.20%,0.10%
Mcdowell,In-State,North Carolina,Fall,Student Headcount,29,32,29,33,28,26,33,32,37,30
Mecklenburg,In-State,North Carolina,Fall,% of Total Student Headcount along County,10.30%,10.50%,10.60%,10.70%,10.70%,10.90%,10.90%,10.90%,11.00%,10.80%
Mecklenburg,In-State,North Carolina,Fall,Student Headcount,"2,233","2,238","2,248","2,260","2,276","2,363","2,390","2,400","2,470","2,462"
Mitchell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%
Mitchell,In-State,North Carolina,Fall,Student Headcount,7,8,7,7,4,7,10,15,15,13
Montgomery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Montgomery,In-State,North Carolina,Fall,Student Headcount,18,16,22,22,22,20,20,24,22,17
Moore,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%,0.80%
Moore,In-State,North Carolina,Fall,Student Headcount,183,181,165,161,171,177,171,174,178,179
Nash,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.60%,0.60%,0.60%,0.50%,0.50%,0.50%,0.50%,0.50%
Nash,In-State,North Carolina,Fall,Student Headcount,141,128,136,135,122,117,107,104,104,106
New Hanover,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.00%,2.10%,2.20%,2.10%,2.20%,2.10%,2.00%,1.90%,1.90%,2.00%
New Hanover,In-State,North Carolina,Fall,Student Headcount,429,446,467,442,472,456,440,422,431,463
Northampton,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%
Northampton,In-State,North Carolina,Fall,Student Headcount,16,11,13,14,13,15,14,10,9,9
Onslow,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.70%,0.70%,0.70%,0.80%,0.80%,0.80%,0.70%,0.70%
Onslow,In-State,North Carolina,Fall,Student Headcount,136,135,144,146,153,167,172,173,166,149
