County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.90%,4.00%,3.90%,3.90%,4.00%,3.80%,3.90%,4.10%,4.20%,4.00%
Alamance,In-State,North Carolina,Fall,Student Headcount,642,660,660,691,717,700,735,761,763,700
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,26,17,17,20,21,15,22,18,23,19
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.10%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,4,18,25,34,6,6,4,4,5,6
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,27,30,29,20,22,21,20,19,17,17
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%
Ashe,In-State,North Carolina,Fall,Student Headcount,20,17,21,7,6,7,9,13,12,9
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Avery,In-State,North Carolina,Fall,Student Headcount,8,4,3,1,1,2,2,2,2,3
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.60%,0.30%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Beaufort,In-State,North Carolina,Fall,Student Headcount,20,35,94,45,18,23,23,20,18,18
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
