County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.00%,1.10%,1.20%,1.10%,1.20%,1.10%,1.00%,1.20%,1.20%,1.30%
Alamance,In-State,North Carolina,Fall,Student Headcount,112,132,144,147,166,161,150,181,194,210
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.10%,0.20%
Alexander,In-State,North Carolina,Fall,Student Headcount,12,9,11,13,17,22,24,25,19,26
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.10%,0.00%,0.00%,0.10%,0.10%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,8,8,4,5,7,6,5,10,11,6
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,5,6,5,5,4,5,9,13,10,13
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Ashe,In-State,North Carolina,Fall,Student Headcount,7,5,9,12,11,12,11,12,16,15
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%
Avery,In-State,North Carolina,Fall,Student Headcount,9,8,5,6,5,2,3,7,12,12
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.30%,0.40%,0.30%,0.40%,0.30%,0.20%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,27,26,28,39,49,49,57,42,36,28
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%
Bertie,In-State,North Carolina,Fall,Student Headcount,1,1,1,4,3,7,8,5,6,4
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.40%,0.30%,0.40%,0.40%,0.40%,0.30%,0.30%
Bladen,In-State,North Carolina,Fall,Student Headcount,33,33,48,48,46,55,59,58,56,46
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.60%,3.60%,3.30%,3.10%,3.00%,2.90%,3.00%,2.90%,3.00%,3.20%
Brunswick,In-State,North Carolina,Fall,Student Headcount,426,427,412,399,419,426,446,453,483,516
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.80%,0.80%,0.90%,0.90%,1.00%,1.10%,1.10%,1.20%,1.20%,1.20%
Buncombe,In-State,North Carolina,Fall,Student Headcount,96,101,114,111,136,160,167,193,189,189
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.30%,0.40%,0.30%,0.40%,0.40%,0.40%,0.40%
Burke,In-State,North Carolina,Fall,Student Headcount,34,35,43,40,49,48,56,64,62,64
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.40%,1.30%,1.40%,1.40%,1.50%,1.60%,1.80%,2.00%,2.20%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,158,165,162,180,193,211,238,275,318,353
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%,0.30%,0.30%,0.30%
Caldwell,In-State,North Carolina,Fall,Student Headcount,21,21,24,27,24,33,51,46,43,43
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,12,14,22,28,29,30,25,20,13,9
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.50%,1.40%,1.40%,1.40%,1.30%,1.20%,1.20%,1.40%,1.40%,1.20%
Carteret,In-State,North Carolina,Fall,Student Headcount,174,172,169,181,182,178,183,211,219,188
