County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,1.00%,1.10%,1.10%,1.00%,1.10%,1.10%,1.10%,1.10%,1.20%
Alamance,In-State,North Carolina,Fall,Student Headcount,76,89,100,103,103,113,112,113,121,123
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.40%,0.40%,0.50%,0.50%,0.50%,0.50%,0.50%,0.60%,0.60%
Alexander,In-State,North Carolina,Fall,Student Headcount,45,37,41,50,49,53,55,55,60,64
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Alleghany,In-State,North Carolina,Fall,Student Headcount,3,4,4,8,8,12,11,12,12,14
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%
Anson,In-State,North Carolina,Fall,Student Headcount,11,11,11,10,9,6,10,9,7,5
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.40%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.20%
Ashe,In-State,North Carolina,Fall,Student Headcount,34,33,34,31,30,34,31,34,28,25
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.20%,0.20%,0.20%,0.20%
Avery,In-State,North Carolina,Fall,Student Headcount,21,20,23,22,19,15,17,17,16,18
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,4,6,9,6,8,8,9,12,15,20
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%
Bertie,In-State,North Carolina,Fall,Student Headcount,1,1,2,1,2,1,3,6,8,9
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.20%,0.10%,0.20%,0.10%
Bladen,In-State,North Carolina,Fall,Student Headcount,3,3,4,5,5,7,16,14,16,13
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.40%,0.40%,0.60%,0.50%,0.60%,0.50%,0.50%
Brunswick,In-State,North Carolina,Fall,Student Headcount,28,31,42,38,44,58,57,59,56,50
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,11.50%,11.70%,11.30%,11.30%,11.10%,10.70%,10.40%,10.20%,9.70%,10.00%
Buncombe,In-State,North Carolina,Fall,Student Headcount,"1,000","1,067","1,060","1,060","1,102","1,073","1,089","1,086","1,034","1,024"
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.30%,2.30%,2.30%,2.10%,1.90%,2.10%,2.20%,2.10%,2.20%,2.20%
Burke,In-State,North Carolina,Fall,Student Headcount,197,208,212,199,193,216,231,222,231,224
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.50%,2.40%,2.20%,2.10%,2.10%,2.10%,2.20%,2.10%,2.20%,2.40%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,222,221,203,202,208,215,227,226,233,244
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.50%,1.40%,1.70%,1.80%,2.10%,1.80%,1.90%,1.80%,1.60%
Caldwell,In-State,North Carolina,Fall,Student Headcount,122,135,136,156,181,207,188,205,194,168
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,6,5,3,3,2,4,8,10,10,11
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.30%,0.40%,0.30%,0.20%,0.20%,0.30%,0.30%,0.30%
Carteret,In-State,North Carolina,Fall,Student Headcount,18,28,32,33,30,22,21,27,32,29
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%
Caswell,In-State,North Carolina,Fall,Student Headcount,6,7,5,12,12,16,11,10,8,11
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,4.00%,3.90%,3.70%,3.60%,3.30%,3.20%,3.40%,3.30%,3.30%,2.90%
Catawba,In-State,North Carolina,Fall,Student Headcount,353,351,343,340,327,326,360,352,347,294
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.40%,0.30%,0.30%,0.40%,0.50%,0.50%,0.60%,0.60%,0.50%
Chatham,In-State,North Carolina,Fall,Student Headcount,40,33,30,29,39,50,55,60,60,54
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.90%,1.70%,1.80%,1.70%,1.70%,1.50%,1.50%,1.30%,1.30%,1.40%
Cherokee,In-State,North Carolina,Fall,Student Headcount,165,158,173,160,165,153,154,139,134,138
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,0.00%
