County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.10%,1.40%,1.50%,1.70%,1.40%,1.30%,1.50%,1.30%,1.40%,1.50%
Alamance,In-State,North Carolina,Fall,Student Headcount,56,67,73,79,65,62,72,63,65,67
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,5,3,6,6,3,4,3,5,4,5
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,0.00%,0.00%,,0.00%,0.00%,
Alleghany,In-State,North Carolina,Fall,Student Headcount,,,,,1,1,,1,1,
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.20%,0.20%,0.40%,0.40%,0.40%,0.50%,0.50%,0.40%,0.30%
Anson,In-State,North Carolina,Fall,Student Headcount,19,12,10,18,19,17,23,23,18,13
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,,0.00%,0.00%,0.00%,0.10%,0.00%,,
Ashe,In-State,North Carolina,Fall,Student Headcount,1,,,1,1,2,3,2,,
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,,,,,0.00%,,,0.00%
Avery,In-State,North Carolina,Fall,Student Headcount,1,2,,,,,1,,,1
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.20%,0.20%,0.30%,0.20%,0.20%,0.30%,0.30%
Beaufort,In-State,North Carolina,Fall,Student Headcount,6,3,5,9,10,13,8,8,13,12
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.20%,0.10%,0.20%,0.10%,0.10%,0.10%,0.20%,0.20%
Bertie,In-State,North Carolina,Fall,Student Headcount,6,9,8,5,10,5,5,4,8,9
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%,0.30%
Bladen,In-State,North Carolina,Fall,Student Headcount,10,8,8,9,11,11,11,10,15,12
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.20%,0.20%,0.20%,0.20%,0.30%,0.40%,0.30%,0.50%
Brunswick,In-State,North Carolina,Fall,Student Headcount,14,14,11,9,10,10,14,18,16,22
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.80%,0.80%,0.60%,0.60%,0.60%,0.40%,0.50%,0.50%,0.40%
Buncombe,In-State,North Carolina,Fall,Student Headcount,38,41,38,29,28,29,18,22,23,20
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.40%,0.30%,0.20%,0.20%,0.20%,0.30%,0.30%,0.30%,0.40%
Burke,In-State,North Carolina,Fall,Student Headcount,12,18,16,10,10,11,13,16,15,18
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.70%,1.70%,2.20%,2.30%,2.20%,2.00%,2.20%,2.20%,2.20%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,70,84,83,105,109,106,94,103,104,101
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.50%,0.40%,0.20%,0.20%,0.10%,0.20%,0.20%,0.30%
Caldwell,In-State,North Carolina,Fall,Student Headcount,14,17,22,20,10,9,5,8,8,15
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,,,0.00%,0.00%,,,,
Camden,In-State,North Carolina,Fall,Student Headcount,1,1,,,1,1,,,,
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.00%
Carteret,In-State,North Carolina,Fall,Student Headcount,3,10,5,7,5,4,2,1,1,2
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.30%,0.40%,0.30%,0.30%,0.20%,0.20%,0.20%
Caswell,In-State,North Carolina,Fall,Student Headcount,10,12,11,13,17,14,13,11,10,10
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.70%,0.90%,1.00%,0.90%,0.80%,0.80%,0.70%,0.50%,0.50%
Catawba,In-State,North Carolina,Fall,Student Headcount,38,37,44,47,41,36,39,31,24,21
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.50%,0.20%,0.10%,0.10%,0.30%,0.30%,0.30%,0.30%,0.30%
Chatham,In-State,North Carolina,Fall,Student Headcount,19,24,10,7,7,14,15,15,15,16
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%
Chowan,In-State,North Carolina,Fall,Student Headcount,,,1,1,2,1,,1,2,2
Clay,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.00%,,,,,,,,
Clay,In-State,North Carolina,Fall,Student Headcount,,1,,,,,,,,
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,1.00%,1.10%,1.30%,1.40%,1.00%,0.80%,0.70%,0.70%,0.60%
Cleveland,In-State,North Carolina,Fall,Student Headcount,48,51,54,60,68,48,38,33,34,28
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.40%,0.40%,0.40%,0.20%,0.30%,0.40%,0.30%,0.20%,0.30%
Columbus,In-State,North Carolina,Fall,Student Headcount,13,20,19,18,11,12,17,13,10,14
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.10%,0.20%,0.20%,0.20%,0.20%,0.30%,0.40%
Craven,In-State,North Carolina,Fall,Student Headcount,10,8,8,7,8,11,10,9,14,18
