County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.60%,2.30%,2.20%,1.90%,1.80%,2.10%,2.10%,2.10%,1.90%,2.00%
Alamance,In-State,North Carolina,Fall,Student Headcount,224,193,189,160,159,191,186,198,182,186
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,0.00%,0.10%,0.00%,0.10%,0.10%,0.10%,0.00%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,5,4,3,6,4,5,7,5,2,5
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,,,,,0.00%,0.00%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,1,,,,,,1,2,2,1
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.30%,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%
Anson,In-State,North Carolina,Fall,Student Headcount,16,17,20,22,8,8,8,14,19,18
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ashe,In-State,North Carolina,Fall,Student Headcount,3,4,4,6,1,3,4,4,2,2
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%
Avery,In-State,North Carolina,Fall,Student Headcount,3,3,1,3,2,9,2,3,4,3
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.10%
Beaufort,In-State,North Carolina,Fall,Student Headcount,28,23,19,19,19,18,18,14,7,11
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.40%,0.40%,0.30%,0.30%,0.30%,0.30%,0.30%,0.20%
Bertie,In-State,North Carolina,Fall,Student Headcount,40,44,37,33,29,24,28,26,29,21
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%,0.40%,0.30%
Bladen,In-State,North Carolina,Fall,Student Headcount,22,17,18,19,21,20,22,29,34,32
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.40%,0.40%,0.40%,0.40%,0.50%,0.40%,0.30%
Brunswick,In-State,North Carolina,Fall,Student Headcount,29,27,32,37,38,35,35,47,35,31
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.40%,0.30%,0.30%,0.30%,0.40%,0.50%,0.40%,0.50%,0.50%
Buncombe,In-State,North Carolina,Fall,Student Headcount,29,32,26,26,29,35,44,41,44,51
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.20%,0.20%,0.10%,0.20%,0.10%,0.10%,0.10%
Burke,In-State,North Carolina,Fall,Student Headcount,11,6,11,13,16,12,14,12,12,7
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.80%,0.90%,0.90%,1.00%,1.20%,1.40%,1.70%,2.20%,2.70%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,52,67,77,73,90,109,127,154,207,253
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.20%,0.10%,0.20%,0.20%,0.10%,0.20%,0.10%,0.20%
Caldwell,In-State,North Carolina,Fall,Student Headcount,11,12,13,12,15,14,12,16,13,15
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%
Camden,In-State,North Carolina,Fall,Student Headcount,2,5,4,2,2,6,3,4,3,4
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Carteret,In-State,North Carolina,Fall,Student Headcount,10,7,6,10,9,7,6,8,11,10
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.30%,0.30%,0.20%,0.30%,0.30%,0.30%,0.30%,0.20%
