County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.20%,1.00%,1.10%,1.30%,1.50%,1.40%,1.40%,1.40%,1.50%
Alamance,In-State,North Carolina,Fall,Student Headcount,99,89,68,79,95,109,99,93,94,100
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,,0.00%,0.00%
Alexander,In-State,North Carolina,Fall,Student Headcount,2,1,1,1,4,2,1,,1,2
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,0.00%,0.00%,,,
Alleghany,In-State,North Carolina,Fall,Student Headcount,,,,,,1,1,,,
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.20%,0.40%,0.30%,0.30%,0.20%,0.20%,0.30%
Anson,In-State,North Carolina,Fall,Student Headcount,22,21,27,18,26,21,21,15,14,17
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,0.00%
Ashe,In-State,North Carolina,Fall,Student Headcount,1,2,1,1,1,,,,,2
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,0.00%,0.00%,0.10%,0.00%,0.00%,,
Avery,In-State,North Carolina,Fall,Student Headcount,,,,1,3,5,3,1,,
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%,0.30%,0.20%
Beaufort,In-State,North Carolina,Fall,Student Headcount,21,18,13,16,14,15,16,17,17,11
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.50%,0.60%,0.60%,0.60%,0.40%,0.30%,0.30%
Bertie,In-State,North Carolina,Fall,Student Headcount,22,20,30,37,46,45,40,27,23,21
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.20%,0.30%,0.30%,0.30%,0.40%,0.40%,0.40%,0.30%
Bladen,In-State,North Carolina,Fall,Student Headcount,18,20,17,22,19,22,26,26,27,21
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.20%,0.30%,0.30%,0.30%,0.40%,0.30%,0.30%,0.40%,0.40%
Brunswick,In-State,North Carolina,Fall,Student Headcount,22,17,20,22,24,27,19,18,24,29
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.30%,0.30%,0.30%,0.30%,0.20%,0.30%,0.40%,0.40%
Buncombe,In-State,North Carolina,Fall,Student Headcount,38,35,24,23,20,20,16,17,29,29
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%
Burke,In-State,North Carolina,Fall,Student Headcount,10,4,2,3,5,6,6,9,9,10
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.60%,0.50%,0.70%,0.70%,1.00%,1.10%,1.10%,1.10%,1.30%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,54,43,36,48,52,75,78,73,71,84
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Caldwell,In-State,North Carolina,Fall,Student Headcount,8,8,8,6,7,6,6,5,6,6
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Camden,In-State,North Carolina,Fall,Student Headcount,3,2,2,3,2,3,3,1,3,2
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%
Carteret,In-State,North Carolina,Fall,Student Headcount,8,8,7,10,13,8,6,6,8,6
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%
