County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.40%,1.40%,1.40%,1.40%,1.40%,1.40%,1.50%,1.50%,1.50%
Alamance,In-State,North Carolina,Fall,Student Headcount,"2,627","2,640","2,667","2,695","2,714","2,823","2,926","3,041","3,109","3,073"
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Alexander,In-State,North Carolina,Fall,Student Headcount,377,355,359,387,430,432,426,385,375,396
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.10%,0.10%,0.10%
Alleghany,In-State,North Carolina,Fall,Student Headcount,98,124,146,141,98,98,92,112,108,105
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,270,251,245,259,242,220,247,268,258,250
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%
Ashe,In-State,North Carolina,Fall,Student Headcount,358,356,335,303,276,323,318,334,329,338
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Avery,In-State,North Carolina,Fall,Student Headcount,210,213,189,209,175,177,163,169,171,188
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.40%,0.30%,0.30%,0.40%,0.30%,0.30%,0.30%
Beaufort,In-State,North Carolina,Fall,Student Headcount,612,633,701,795,651,681,713,689,711,716
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Bertie,In-State,North Carolina,Fall,Student Headcount,320,277,279,274,285,270,278,248,242,229
