AreaType,AreaName,Year,Population
County,Alamance,2020,171415
County,Anson,2020,22055
County,Avery,2020,17806
County,Beaufort,2020,44652
County,Buncombe,2020,269452
County,Burke,2020,87570
County,Cabarrus,2020,225804
County,Caldwell,2020,80652
County,Caswell,2020,22736
County,Catawba,2020,160610
County,Clay,2020,11089
County,Craven,2020,100720
County,Davidson,2020,168930
County,Durham,2020,324833
County,Gaston,2020,227943
County,Greene,2020,20451
County,Hertford,2020,21552
County,Hoke,2020,52082
County,Hyde,2020,4589
County,Jones,2020,9172
County,Lee,2020,63285
County,McDowell,2020,44578
County,Mecklenburg,2020,1115482
County,Mitchell,2020,14903
County,Montgomery,2020,25751
County,Nash,2020,94970
County,New Hanover,2020,225702
County,Northampton,2020,17471
County,Orange,2020,148696
County,Pamlico,2020,12276
County,Pender,2020,60203
County,Pitt,2020,170243
County,Polk,2020,19328
County,Randolph,2020,144171
County,Rockingham,2020,91096
County,Transylvania,2020,32986
County,Tyrrell,2020,3245
County,Wake,2020,1129410
County,Warren,2020,18642
County,Brunswick,2020,136693
County,Cherokee,2020,28774
County,Graham,2020,8030
County,Harnett,2020,133568
County,Haywood,2020,62089
County,Lenoir,2020,55122
County,Martin,2020,22031
County,Person,2020,39097
County,Rowan,2020,146875
County,Scotland,2020,34174
County,Stanly,2020,62504
County,Swain,2020,14117
County,Union,2020,238267
County,Watauga,2020,54086
County,Yadkin,2020,37214
County,Yancey,2020,18470
County,Alexander,2020,36444
County,Bertie,2020,17934
County,Camden,2020,10355
County,Columbus,2020,50623
County,Davie,2020,42712
County,Edgecombe,2020,48900
County,Franklin,2020,68573
County,Iredell,2020,186693
County,Johnston,2020,215999
County,Perquimans,2020,13005
County,Robeson,2020,116530
County,Sampson,2020,59036
County,Wayne,2020,117333
County,Wilson,2020,78784
County,Carteret,2020,67686
County,Chowan,2020,13708
County,Cleveland,2020,99519
County,Duplin,2020,48715
County,Lincoln,2020,86810
County,Madison,2020,21193
County,Rutherford,2020,64444
County,Surry,2020,71359
County,Vance,2020,42578
County,Washington,2020,11003
County,Bladen,2020,29606
County,Chatham,2020,76285
County,Cumberland,2020,334728
County,Dare,2020,36915
County,Gates,2020,10478
County,Granville,2020,60992
County,Guilford,2020,541299
County,Jackson,2020,43109
County,Macon,2020,37014
County,Moore,2020,99727
County,Richmond,2020,42946
County,Stokes,2020,44520
County,Wilkes,2020,65969
County,Alleghany,2020,10888
County,Ashe,2020,26577
County,Currituck,2020,28100
County,Forsyth,2020,382590
County,Halifax,2020,48622
County,Henderson,2020,116281
County,Onslow,2020,204576
County,Pasquotank,2020,40568
