Geographic Type,Name,Prosperity Zone,Prosperity Zone Sub-Region,Peer County Type,2018 Estimate,Traditional Schools,Charter/ Private/ Home Schools,Median Household Income,Child Poverty Rate,Households with Broadband,"NC Pre-K Participation Rate
(goal: 75%)","College-and-Career-Ready in Reading
(goal: 73%)","College-and-Career-Ready in Math
(goal: 86%)","High School Graduation Rate
(goal: 95%)","FAFSA Completion Rate
(goal: 80%)","Chronic Absenteeism Rate
(goal: 11%)",AP Participation Rate,Enroll in Postsecondary within 12 months,Persist to 2nd Year,Graduate within 6 years,Students per School Counselor,ApprenticeshipNC,NCCC Basic Skills Enrollments,NCCC Continuing Education Enrollments,Disconnected Youth Rate,Total Graduates (2018),# Enrolled in Charter Schools,# Enrolled in Private Schools,# Enrolled in Home Schools
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Alamance County,Piedmont-Triad,Greensboro,Suburban,"166,638","22,579","5,708","$50,480",20%,76%,42%,37%,34%,83%,55%,20%,17%,57%,74%,53%,426,739,"6,843","34,670",9.2%,"8,688","1,767","1,636","2,305"
County,Alexander County,Northwest,Hickory,Rural Metro,"38,303","4,746",927,"$49,138",20%,70%,45%,48%,46%,83%,55%,10%,11%,60%,81%,54%,297,300,"3,422","22,503",10.6%,"2,073",0,134,793
County,Alleghany County,Northwest,Boone-Wilkesboro,Rural Non-Metro,"11,422","1,332",139,"$39,735",30%,71%,81%,42%,45%,89%,57%,16%,0%,54%,76%,51%,333,12,"1,740","8,809",12.7%,"5,225",0,31,108
County,Anson County,Southwest,Charlotte,Rural Metro,"25,288","3,148",296,"$38,023",31%,69%,103%,34%,26%,83%,45%,28%,0%,43%,70%,46%,350,"3,322","12,019","64,398",4.9%,"12,162",0,10,286
County,Ashe County,Northwest,Boone-Wilkesboro,Rural Non-Metro,"27,606","2,946",617,"$41,864",26%,69%,99%,56%,53%,86%,56%,10%,12%,67%,76%,61%,327,12,"1,740","8,809",5.3%,"5,225",0,32,585
County,Avery County,Northwest,Boone-Wilkesboro,Rural Non-Metro,"18,057","1,910",527,"$41,701",25%,67%,163%,51%,49%,90%,67%,18%,14%,54%,75%,60%,273,12,"1,740","8,809",1.1%,"5,225",147,70,310
County,Beaufort County,Northeast,Greenville,Rural Non-Metro,"47,475","6,370","1,447","$46,411",27%,65%,62%,40%,38%,83%,40%,18%,8%,54%,75%,44%,375,347,"2,779","19,098",4.5%,"8,237",423,411,613
County,Bertie County,Northeast,Greenville,Rural Non-Metro,"19,709","2,078",590,"$35,433",32%,56%,93%,33%,24%,78%,56%,19%,0%,53%,74%,40%,346,347,"2,779","19,098",6.3%,"8,237",77,371,142
County,Bladen County,Sandhills,Fayetteville-Lumberton,Rural Non-Metro,"34,566","4,120","1,132","$36,976",44%,65%,88%,34%,25%,92%,47%,16%,4%,51%,69%,41%,375,"1,621","6,792","32,293",13.0%,"5,110",621,88,423
County,Brunswick County,Southeast,Wilmington,Rural Metro,"137,103","12,383","3,500","$60,163",20%,81%,38%,41%,39%,85%,51%,18%,7%,53%,71%,47%,399,254,"1,943","14,610",6.2%,"6,301","1,276",539,"1,685"
County,Buncombe County,Western,Asheville,Suburban,"261,065","27,741","10,541","$53,960",17%,81%,35%,48%,44%,87%,57%,14%,19%,58%,79%,58%,292,553,"3,207","22,514",6.9%,"2,836","2,513","3,407","4,621"
County,Burke County,Northwest,Hickory,Rural Metro,"91,402","11,820","2,074","$44,946",21%,68%,67%,46%,42%,90%,49%,11%,15%,53%,73%,54%,358,300,"3,422","22,503",14.7%,"2,073",320,214,"1,540"
County,Cabarrus County,Southwest,Charlotte,Suburban,"209,150","37,190","8,185","$69,297",13%,88%,42%,50%,47%,88%,54%,12%,16%,64%,79%,54%,403,"3,322","12,019","64,398",6.2%,"12,162","2,535","2,003","3,647"
County,Caldwell County,Northwest,Hickory,Rural Metro,"83,291","11,236","1,386","$43,328",22%,75%,46%,46%,35%,88%,65%,17%,6%,57%,70%,49%,312,300,"3,422","22,503",12.0%,"2,073",0,134,"1,252"
County,Camden County,Northeast,Elizabeth City,Rural Metro,"10,490","1,854",180,"$65,955",10%,84%,187%,61%,47%,91%,53%,12%,6%,73%,84%,58%,464,8,603,"4,933",3.9%,580,0,0,180
County,Carteret County,Southeast,Jacksonville-New Bern,Rural Non-Metro,"70,696","7,986","1,938","$55,052",16%,82%,83%,58%,52%,84%,52%,15%,10%,67%,82%,51%,275,143,"2,183","14,913",12.4%,"2,013",202,373,"1,363"
County,Caswell County,Piedmont-Triad,Greensboro,Rural Non-Metro,"23,679","2,425",462,"$45,517",28%,63%,60%,35%,26%,79%,53%,22%,10%,59%,70%,43%,303,739,"6,843","34,670",8.1%,"8,688",0,0,462
County,Catawba County,Northwest,Hickory,Suburban,"158,483","22,705","3,867","$53,738",20%,79%,42%,46%,42%,89%,57%,15%,15%,63%,82%,57%,355,300,"3,422","22,503",5.7%,"2,073",0,"1,643","2,224"
County,Chatham County,North Central,Raleigh-Durham,Rural Metro,"74,264","8,809","2,496","$73,703",14%,77%,114%,49%,45%,88%,69%,9%,18%,67%,81%,57%,400,"2,661","12,867","67,583",11.0%,"22,190","1,290",190,"1,016"
County,Cherokee County,Western,Waynesville-Franklin,Rural Non-Metro,"29,275","3,113",737,"$41,262",28%,70%,53%,49%,42%,93%,55%,18%,3%,63%,79%,50%,208,18,"1,489","10,302",9.4%,"3,691",182,27,528
County,Chowan County,Northeast,Elizabeth City,Rural Non-Metro,"14,173","1,935",173,"$42,618",30%,67%,69%,40%,41%,92%,59%,14%,7%,52%,71%,51%,387,8,603,"4,933",6.5%,580,0,6,167
County,Clay County,Western,Waynesville-Franklin,Rural Non-Metro,"11,658","1,274",196,"$42,878",24%,76%,52%,40%,41%,94%,61%,14%,1%,59%,79%,49%,"1,274",18,"1,489","10,302",8.1%,"3,691",0,50,146
County,Cleveland County,Southwest,Charlotte,Rural Non-Metro,"99,140","14,216","2,563","$42,728",28%,63%,59%,45%,48%,88%,48%,16%,16%,58%,74%,52%,338,"3,322","12,019","64,398",8.3%,"12,162",854,149,"1,560"
County,Columbus County,Sandhills,Fayetteville-Lumberton,Rural Non-Metro,"56,424","7,671","1,545","$36,862",36%,61%,82%,40%,33%,86%,48%,19%,5%,56%,75%,41%,365,"1,621","6,792","32,293",15.4%,"5,110",779,179,587
County,Craven County,Southeast,Jacksonville-New Bern,Rural Metro,"103,594","13,329","2,652","$50,748",22%,81%,38%,43%,33%,87%,52%,16%,10%,59%,73%,48%,370,143,"2,183","14,913",5.4%,"2,013",0,"1,098","1,554"
County,Cumberland County,Sandhills,Fayetteville-Lumberton,Suburban,"331,764","49,503","9,532","$46,779",24%,82%,57%,41%,32%,84%,56%,19%,12%,61%,74%,46%,351,"1,621","6,792","32,293",8.9%,"5,110","1,273","4,754","3,505"
