County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,0.90%,0.80%,0.70%,0.70%,0.80%,0.90%,1.00%,0.90%,1.30%
Alamance,In-State,North Carolina,Fall,Student Headcount,29,30,26,25,24,28,30,31,26,37
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%
Alexander,In-State,North Carolina,Fall,Student Headcount,8,4,4,4,6,8,8,5,7,9
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,,0.10%,0.10%
Alleghany,In-State,North Carolina,Fall,Student Headcount,1,1,1,1,,1,1,,2,4
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.00%,,,0.00%,,,0.10%,0.10%,0.10%
Anson,In-State,North Carolina,Fall,Student Headcount,2,1,,,1,,,4,2,2
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.20%,0.20%,0.10%,0.10%,0.20%,0.30%,0.30%,0.20%
Ashe,In-State,North Carolina,Fall,Student Headcount,3,5,8,8,5,4,6,8,8,5
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.10%,0.20%,0.10%,,0.10%,0.10%,0.10%,0.10%
Avery,In-State,North Carolina,Fall,Student Headcount,3,5,5,6,2,,2,2,3,4
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.20%,0.20%,0.10%,
Beaufort,In-State,North Carolina,Fall,Student Headcount,2,3,3,1,2,4,7,6,2,
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.00%,0.10%,0.10%,0.10%,0.00%,0.10%,0.00%,0.00%
Bertie,In-State,North Carolina,Fall,Student Headcount,,,1,2,2,2,1,2,1,1
