County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.70%,0.80%,0.80%,0.80%,0.90%,0.80%,0.80%,0.80%,0.80%
Alamance,In-State,North Carolina,Fall,Student Headcount,152,155,188,189,211,227,207,208,204,208
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.20%,0.20%,0.20%
Alexander,In-State,North Carolina,Fall,Student Headcount,64,66,78,79,83,80,71,58,62,61
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,8,11,13,7,7,10,5,6,5,5
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Anson,In-State,North Carolina,Fall,Student Headcount,37,31,32,43,44,42,40,45,47,41
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Ashe,In-State,North Carolina,Fall,Student Headcount,13,21,25,25,29,24,18,18,16,15
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Avery,In-State,North Carolina,Fall,Student Headcount,8,7,8,9,6,9,10,13,12,13
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%
Beaufort,In-State,North Carolina,Fall,Student Headcount,7,9,7,8,11,15,15,15,17,26
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bertie,In-State,North Carolina,Fall,Student Headcount,1,,2,2,3,3,3,3,5,5
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%
Bladen,In-State,North Carolina,Fall,Student Headcount,9,10,10,9,7,11,15,9,10,13
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.40%,0.30%,0.30%,0.30%,0.40%,0.40%,0.40%,0.40%
Brunswick,In-State,North Carolina,Fall,Student Headcount,73,78,89,84,85,86,110,100,104,104
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.20%,1.30%,1.40%,1.20%,1.10%,1.00%,1.10%,1.20%,1.20%
Buncombe,In-State,North Carolina,Fall,Student Headcount,308,288,313,342,298,282,272,286,320,326
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.50%,0.50%,0.60%,0.50%,0.50%,0.50%,0.50%,0.50%
Burke,In-State,North Carolina,Fall,Student Headcount,114,114,116,117,142,127,133,134,130,122
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,7.20%,7.30%,7.20%,7.60%,7.30%,7.30%,7.20%,7.20%,7.50%,7.40%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,"1,659","1,708","1,712","1,852","1,829","1,893","1,883","1,891","2,012","1,987"
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.50%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%
Caldwell,In-State,North Carolina,Fall,Student Headcount,93,94,113,101,104,113,115,112,105,104
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%
Camden,In-State,North Carolina,Fall,Student Headcount,5,6,7,8,9,11,16,11,8,9
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Carteret,In-State,North Carolina,Fall,Student Headcount,27,39,40,49,49,58,51,46,41,43
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%
Caswell,In-State,North Carolina,Fall,Student Headcount,3,8,13,12,16,20,20,17,14,8
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.90%,2.00%,2.00%,2.10%,2.20%,2.20%,2.10%,1.90%,1.90%,1.80%
Catawba,In-State,North Carolina,Fall,Student Headcount,430,460,479,508,544,556,538,507,503,491
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.30%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%
Chatham,In-State,North Carolina,Fall,Student Headcount,51,50,54,79,98,96,110,98,105,110
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%
Cherokee,In-State,North Carolina,Fall,Student Headcount,13,15,9,13,14,23,22,13,19,23
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Chowan,In-State,North Carolina,Fall,Student Headcount,1,3,3,3,3,3,4,2,4,3
Clay,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Clay,In-State,North Carolina,Fall,Student Headcount,7,3,5,5,6,4,4,4,4,5
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.30%,1.30%,1.20%,1.20%,1.10%,1.10%,1.00%,1.00%,0.90%
Cleveland,In-State,North Carolina,Fall,Student Headcount,312,299,313,287,293,297,279,271,267,248
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Columbus,In-State,North Carolina,Fall,Student Headcount,16,23,20,22,24,27,19,23,23,24
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.30%,0.20%,0.20%,0.20%,0.20%,0.30%,0.20%,0.30%
Craven,In-State,North Carolina,Fall,Student Headcount,48,57,60,53,57,62,58,66,62,72
Cumberland,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.70%,1.60%,1.60%,1.40%,1.30%,1.20%,1.20%,1.30%,1.40%,1.50%
Cumberland,In-State,North Carolina,Fall,Student Headcount,398,376,371,345,315,313,327,327,375,400
Currituck,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%
Currituck,In-State,North Carolina,Fall,Student Headcount,9,12,8,16,15,13,16,16,17,22
Dare,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.20%,0.20%,0.10%,0.10%,0.20%,0.20%,0.20%
Dare,In-State,North Carolina,Fall,Student Headcount,20,23,29,37,40,37,36,42,43,47
Davidson,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.10%,1.00%,1.10%,1.40%,1.50%,1.50%,1.50%,1.50%,1.30%,1.20%
Davidson,In-State,North Carolina,Fall,Student Headcount,259,241,255,346,383,383,398,388,347,332
Davie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.50%,0.50%,0.50%,0.50%,0.40%,0.50%,0.50%,0.50%
Davie,In-State,North Carolina,Fall,Student Headcount,113,113,113,120,125,123,112,127,126,134
Duplin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Duplin,In-State,North Carolina,Fall,Student Headcount,7,11,10,10,10,11,14,20,22,22
Durham,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.50%,1.50%,1.60%,1.50%,1.40%,1.40%,1.50%,1.50%,1.60%,1.60%
Durham,In-State,North Carolina,Fall,Student Headcount,342,354,371,363,347,362,404,403,436,443
Edgecombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%
Edgecombe,In-State,North Carolina,Fall,Student Headcount,22,25,22,22,18,20,17,10,11,13
Forsyth,In-State,North Carolina,Fall,% of Total Student Headcount along County,3.10%,3.30%,3.10%,2.80%,2.80%,2.50%,2.70%,2.50%,2.60%,2.70%
