County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.60%,0.60%,0.70%,0.60%,0.80%,0.80%,0.90%,0.90%,0.90%
Alamance,In-State,North Carolina,Fall,Student Headcount,44,34,37,41,35,46,54,62,67,73
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%
Alexander,In-State,North Carolina,Fall,Student Headcount,4,4,5,7,2,3,3,4,4,5
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.00%,0.00%,0.00%,0.00%
Alleghany,In-State,North Carolina,Fall,Student Headcount,,,,,,,1,1,1,1
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.60%,0.60%,0.70%,0.50%,0.60%,0.50%,0.60%,0.60%,0.50%
Anson,In-State,North Carolina,Fall,Student Headcount,44,33,35,41,29,35,36,46,43,40
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,0.00%,,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%
Ashe,In-State,North Carolina,Fall,Student Headcount,2,2,1,,3,4,2,3,2,2
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.00%,,,,,0.00%,0.00%,0.00%,
Avery,In-State,North Carolina,Fall,Student Headcount,,1,,,,,2,2,1,
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.20%,0.20%,0.20%,0.00%,0.20%,0.10%,0.20%,0.30%,0.30%
Beaufort,In-State,North Carolina,Fall,Student Headcount,6,12,12,14,3,12,8,12,20,23
Bertie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.00%,0.00%,,0.00%,0.00%,0.10%,0.00%,0.00%
Bertie,In-State,North Carolina,Fall,Student Headcount,3,3,2,1,,1,2,5,1,2
Bladen,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.10%,2.00%,1.50%,1.80%,2.00%,2.40%,2.30%,2.20%,2.20%,2.20%
Bladen,In-State,North Carolina,Fall,Student Headcount,124,119,91,110,120,142,154,162,168,168
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.00%,0.80%,0.80%,1.00%,0.90%,1.40%,1.50%,1.70%,1.50%,1.40%
Brunswick,In-State,North Carolina,Fall,Student Headcount,62,48,46,60,53,84,102,124,115,112
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,0.20%,0.30%,0.40%,0.50%,0.50%,0.60%
Buncombe,In-State,North Carolina,Fall,Student Headcount,12,13,11,14,15,16,26,33,39,49
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.20%
Burke,In-State,North Carolina,Fall,Student Headcount,8,7,9,6,8,8,9,9,14,18
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.70%,1.10%,0.60%,1.00%,1.10%,0.90%,1.20%,1.50%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,31,28,41,67,35,58,72,67,94,113
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.00%,0.10%,0.10%,0.20%,0.10%,0.10%,0.20%,0.10%
Caldwell,In-State,North Carolina,Fall,Student Headcount,6,6,2,5,8,11,9,9,13,7
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%,0.10%
Camden,In-State,North Carolina,Fall,Student Headcount,2,2,,1,1,2,4,7,9,10
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.30%,0.30%,0.50%,0.40%,0.40%,0.30%,0.40%
Carteret,In-State,North Carolina,Fall,Student Headcount,7,8,9,19,20,33,28,26,23,30
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%,0.20%,0.10%
Caswell,In-State,North Carolina,Fall,Student Headcount,3,3,6,6,2,5,5,9,13,7
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.20%,0.40%,0.30%,0.40%,0.40%,0.40%,0.40%,0.40%
Catawba,In-State,North Carolina,Fall,Student Headcount,19,18,11,22,17,24,27,30,29,32
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.30%,0.30%,0.30%,0.40%,0.40%,0.50%,0.40%,0.40%,0.30%,0.40%
Chatham,In-State,North Carolina,Fall,Student Headcount,17,17,20,23,25,33,28,30,26,30
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.10%
Cherokee,In-State,North Carolina,Fall,Student Headcount,3,3,3,1,,1,2,1,1,6
Chowan,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.00%,,0.00%,,,0.00%,0.00%,0.00%,0.00%
Chowan,In-State,North Carolina,Fall,Student Headcount,1,1,,1,,,1,2,2,2
Clay,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.00%,0.00%,,,,,,0.00%,0.00%
Clay,In-State,North Carolina,Fall,Student Headcount,,1,1,,,,,,1,1
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.30%,0.40%,0.30%,0.50%,0.40%,0.30%,0.30%,0.30%
Cleveland,In-State,North Carolina,Fall,Student Headcount,23,22,18,25,17,28,25,20,22,22
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.60%,2.30%,2.10%,2.20%,2.50%,2.80%,2.60%,2.80%,2.60%,2.70%
Columbus,In-State,North Carolina,Fall,Student Headcount,160,140,128,136,150,168,180,200,203,211
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.50%,0.30%,0.40%,0.30%,0.40%,0.40%,0.40%,0.50%,0.50%
Craven,In-State,North Carolina,Fall,Student Headcount,34,27,19,27,16,25,28,31,42,38
Cumberland,In-State,North Carolina,Fall,% of Total Student Headcount along County,14.70%,13.40%,12.60%,13.70%,13.00%,14.10%,14.90%,16.50%,15.50%,14.70%
Cumberland,In-State,North Carolina,Fall,Student Headcount,890,803,758,850,789,850,"1,013","1,193","1,208","1,144"
Currituck,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.10%,0.00%,0.10%,0.10%,0.10%,0.00%,0.00%
Currituck,In-State,North Carolina,Fall,Student Headcount,4,3,5,4,2,4,7,9,3,2
Dare,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.10%,,0.10%,0.00%,0.10%,0.10%,0.10%,0.10%,0.10%
Dare,In-State,North Carolina,Fall,Student Headcount,10,7,,4,3,5,4,5,9,6
Davidson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.40%,0.50%,0.50%,0.60%,0.70%,0.70%,0.70%,0.70%
Davidson,In-State,North Carolina,Fall,Student Headcount,30,29,23,34,29,36,48,48,55,54
Davie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.10%,0.10%,0.10%,0.20%,0.10%,0.20%,0.20%,0.10%,0.10%,0.10%
Davie,In-State,North Carolina,Fall,Student Headcount,7,7,9,12,9,10,13,10,11,6
Duplin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.20%,0.40%,0.30%,0.60%,0.70%,0.60%,0.50%,0.60%
Duplin,In-State,North Carolina,Fall,Student Headcount,25,21,15,22,20,34,47,45,41,43
Durham,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.20%,0.90%,0.80%,1.00%,0.80%,1.40%,1.60%,1.50%,1.50%,1.70%
Durham,In-State,North Carolina,Fall,Student Headcount,71,54,48,65,47,87,111,106,115,129
Edgecombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.40%,0.40%,0.30%,0.20%,0.20%,0.40%,0.30%,0.20%,0.30%,0.20%
Edgecombe,In-State,North Carolina,Fall,Student Headcount,26,23,19,10,11,23,19,17,20,16
Forsyth,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.30%,1.10%,1.20%,1.20%,1.00%,1.40%,1.40%,1.60%,1.60%,1.40%
Forsyth,In-State,North Carolina,Fall,Student Headcount,76,67,73,76,60,84,97,115,124,109
Franklin,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.30%,0.20%,0.50%,0.40%,0.60%,0.50%,0.50%,0.50%,0.60%
Franklin,In-State,North Carolina,Fall,Student Headcount,14,16,15,33,26,35,35,38,37,49
Gaston,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.60%,0.60%,0.60%,0.60%,0.60%,0.90%,0.80%,0.60%,0.70%,0.80%
Gaston,In-State,North Carolina,Fall,Student Headcount,39,36,35,37,37,57,57,45,56,60
Gates,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
Gates,In-State,North Carolina,Fall,Student Headcount,3,3,1,3,2,3,2,2,3,7
Graham,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.00%,0.00%,,
Graham,In-State,North Carolina,Fall,Student Headcount,,,,,,,1,1,,
Granville,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.40%,0.30%,0.30%,0.20%,0.50%,0.50%,0.50%,0.50%,0.50%
Granville,In-State,North Carolina,Fall,Student Headcount,32,21,16,16,13,28,33,33,40,40
