County,Residency,State,Term Type,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2016,Fall 2017,Fall 2018,Fall 2019,Fall 2020,Fall 2021
Alamance,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.70%,0.90%,0.60%,0.20%,1.00%,1.70%,1.80%,1.60%,0.90%
Alamance,In-State,North Carolina,Fall,Student Headcount,3,3,4,3,1,5,9,10,9,5
Alexander,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,0.20%,0.20%,0.40%,0.40%,0.20%
Alexander,In-State,North Carolina,Fall,Student Headcount,,,,,,1,1,2,2,1
Alleghany,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,,0.20%,0.20%,0.20%,0.20%,,
Alleghany,In-State,North Carolina,Fall,Student Headcount,1,1,1,,1,1,1,1,,
Anson,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,,,0.20%
Anson,In-State,North Carolina,Fall,Student Headcount,,,,,,,,,,1
Ashe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.50%,0.20%,0.20%,,0.20%,0.20%,,,
Ashe,In-State,North Carolina,Fall,Student Headcount,1,2,1,1,,1,1,,,
Avery,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.20%,0.20%,,0.20%,0.40%,0.40%,0.40%,0.40%,0.20%
Avery,In-State,North Carolina,Fall,Student Headcount,,1,1,,1,2,2,2,2,1
Beaufort,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,0.20%,0.20%,0.20%,,,
Beaufort,In-State,North Carolina,Fall,Student Headcount,,,,,1,1,1,,,
Brunswick,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.20%,0.20%,0.40%,0.40%,0.40%,0.50%,0.50%,0.40%
Brunswick,In-State,North Carolina,Fall,Student Headcount,,,1,1,2,2,2,3,3,2
Buncombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.10%,2.10%,2.40%,2.10%,1.90%,2.10%,1.50%,1.80%,2.00%,2.20%
Buncombe,In-State,North Carolina,Fall,Student Headcount,9,9,11,10,10,11,8,10,11,12
Burke,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.20%,0.20%,,,,,0.20%,0.50%
Burke,In-State,North Carolina,Fall,Student Headcount,2,2,1,1,,,,,1,3
Cabarrus,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.10%,3.30%,2.80%,2.50%,2.20%,2.30%,2.00%,1.60%,0.90%,0.90%
Cabarrus,In-State,North Carolina,Fall,Student Headcount,9,14,13,12,12,12,11,9,5,5
Caldwell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.20%,0.40%,0.40%,0.40%,0.20%,,,0.20%,0.50%
Caldwell,In-State,North Carolina,Fall,Student Headcount,2,1,2,2,2,1,,,1,3
Camden,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,0.20%,0.20%,0.20%
Camden,In-State,North Carolina,Fall,Student Headcount,,,,,,,,1,1,1
Carteret,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.20%,0.20%,,0.20%,0.40%,0.50%,0.50%,0.20%
Carteret,In-State,North Carolina,Fall,Student Headcount,,,1,1,,1,2,3,3,1
Caswell,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,0.20%,0.20%,0.20%,0.20%,,,0.20%
Caswell,In-State,North Carolina,Fall,Student Headcount,,,,1,1,1,1,,,1
Catawba,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.90%,0.70%,1.30%,0.90%,2.10%,1.50%,1.40%,1.60%,1.80%
Catawba,In-State,North Carolina,Fall,Student Headcount,3,4,3,6,5,11,8,8,9,10
Chatham,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.20%,0.70%,0.40%,0.20%,,,,0.50%,0.50%,0.70%
Chatham,In-State,North Carolina,Fall,Student Headcount,5,3,2,1,,,,3,3,4
Cherokee,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,,,,,,,,
Cherokee,In-State,North Carolina,Fall,Student Headcount,1,1,,,,,,,,
Cleveland,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.20%,1.20%,0.90%,0.80%,0.90%,0.60%,0.40%,0.50%,0.20%,0.50%
Cleveland,In-State,North Carolina,Fall,Student Headcount,5,5,4,4,5,3,2,3,1,3
Columbus,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,,,0.20%
Columbus,In-State,North Carolina,Fall,Student Headcount,,,,,,,,,,1
Craven,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.20%,0.40%,0.20%,0.20%,,0.20%,0.40%,0.70%,0.50%
Craven,In-State,North Carolina,Fall,Student Headcount,6,5,2,1,1,,1,2,4,3
Cumberland,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,2.30%,2.60%,1.50%,1.10%,1.20%,1.70%,1.90%,1.50%,1.60%
Cumberland,In-State,North Carolina,Fall,Student Headcount,6,10,12,7,6,6,9,11,8,9
Currituck,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.70%,0.70%,0.40%,0.20%,,,,,
Currituck,In-State,North Carolina,Fall,Student Headcount,1,3,3,2,1,,,,,
Dare,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.90%,0.90%,0.60%,0.60%,0.40%,0.60%,0.40%,0.20%,0.20%
Dare,In-State,North Carolina,Fall,Student Headcount,2,4,4,3,3,2,3,2,1,1
Davidson,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,0.70%,0.90%,0.40%,0.70%,0.80%,1.50%,1.80%,1.80%,2.20%
Davidson,In-State,North Carolina,Fall,Student Headcount,6,3,4,2,4,4,8,10,10,12
Davie,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.50%,0.90%,1.10%,0.90%,1.40%,1.30%,1.10%,1.10%,0.50%
Davie,In-State,North Carolina,Fall,Student Headcount,2,2,4,5,5,7,7,6,6,3
Duplin,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,0.20%,0.20%,0.20%,0.20%,,0.40%
Duplin,In-State,North Carolina,Fall,Student Headcount,,,,,1,1,1,1,,2
Durham,In-State,North Carolina,Fall,% of Total Student Headcount along County,2.10%,2.10%,2.00%,2.10%,2.60%,2.90%,3.10%,3.90%,3.50%,3.10%
Durham,In-State,North Carolina,Fall,Student Headcount,9,9,9,10,14,15,17,22,19,17
Edgecombe,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,,,,,,,,
Edgecombe,In-State,North Carolina,Fall,Student Headcount,1,1,,,,,,,,
Forsyth,In-State,North Carolina,Fall,% of Total Student Headcount along County,28.70%,22.10%,21.30%,23.10%,23.20%,21.00%,20.90%,20.50%,18.40%,18.00%
Forsyth,In-State,North Carolina,Fall,Student Headcount,121,94,98,109,125,109,113,117,101,100
Franklin,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.20%,0.70%,0.40%,0.70%,0.60%,0.40%,0.50%,0.20%,0.20%
Franklin,In-State,North Carolina,Fall,Student Headcount,,1,3,2,4,3,2,3,1,1
Gaston,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.50%,0.90%,0.80%,0.70%,0.40%,0.40%,1.10%,1.10%,1.10%
Gaston,In-State,North Carolina,Fall,Student Headcount,1,2,4,4,4,2,2,6,6,6
Gates,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,,,0.20%
Gates,In-State,North Carolina,Fall,Student Headcount,,,,,,,,,,1
Granville,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.40%,0.40%,0.40%,0.40%
Granville,In-State,North Carolina,Fall,Student Headcount,,,,,,,2,2,2,2
Greene,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,0.20%,0.20%,,,,
Greene,In-State,North Carolina,Fall,Student Headcount,,,,,1,1,,,,
Guilford,In-State,North Carolina,Fall,% of Total Student Headcount along County,9.00%,9.60%,8.50%,9.70%,9.70%,10.20%,10.00%,8.90%,8.80%,8.40%
Guilford,In-State,North Carolina,Fall,Student Headcount,38,41,39,46,52,53,54,51,48,47
Halifax,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.20%,0.20%,0.20%,
Halifax,In-State,North Carolina,Fall,Student Headcount,,,,,,,1,1,1,
Harnett,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,,0.40%,0.40%,0.70%,0.40%,0.20%,0.20%,0.50%,0.20%
Harnett,In-State,North Carolina,Fall,Student Headcount,1,,2,2,4,2,1,1,3,1
Haywood,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.70%,0.40%,0.20%,0.20%,0.20%,,,,
Haywood,In-State,North Carolina,Fall,Student Headcount,3,3,2,1,1,1,,,,
Henderson,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.50%,0.40%,0.20%,0.40%,1.00%,0.60%,1.10%,0.70%,0.90%
Henderson,In-State,North Carolina,Fall,Student Headcount,3,2,2,1,2,5,3,6,4,5
Hertford,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,0.40%,0.40%,0.40%
Hertford,In-State,North Carolina,Fall,Student Headcount,,,,,,,,2,2,2
Hoke,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,0.20%,0.20%,0.20%,0.20%,,,0.20%
Hoke,In-State,North Carolina,Fall,Student Headcount,,,,1,1,1,1,,,1
Hyde,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.20%,0.20%,0.20%,0.40%,0.20%,0.20%,0.20%,,
Hyde,In-State,North Carolina,Fall,Student Headcount,,1,1,1,2,1,1,1,,
Iredell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,0.50%,2.40%,2.50%,2.20%,2.10%,0.90%,1.60%,2.00%,1.80%
Iredell,In-State,North Carolina,Fall,Student Headcount,4,2,11,12,12,11,5,9,11,10
Jackson,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,0.20%,,0.20%,0.20%,0.20%,0.20%
Jackson,In-State,North Carolina,Fall,Student Headcount,,,,,1,,1,1,1,1
Johnston,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,1.20%,1.10%,0.60%,0.70%,0.60%,1.30%,0.90%,0.90%,1.10%
Johnston,In-State,North Carolina,Fall,Student Headcount,6,5,5,3,4,3,7,5,5,6
Lee,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,0.20%,,,,
Lee,In-State,North Carolina,Fall,Student Headcount,,,,,,1,,,,
Lenoir,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.20%,0.40%,0.40%,0.20%,0.20%,,,
Lenoir,In-State,North Carolina,Fall,Student Headcount,,,1,2,2,1,1,,,
Lincoln,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.40%,0.80%,0.40%,0.60%,0.40%,0.20%,,0.20%
Lincoln,In-State,North Carolina,Fall,Student Headcount,1,1,2,4,2,3,2,1,,1
Macon,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,,0.20%,0.20%
Macon,In-State,North Carolina,Fall,Student Headcount,,,,,,,,,1,1
Madison,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.20%,0.20%,,0.20%,0.20%,0.20%,0.20%,0.20%
Madison,In-State,North Carolina,Fall,Student Headcount,1,1,1,1,,1,1,1,1,1
Mcdowell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,,,,,0.20%,0.20%,,
Mcdowell,In-State,North Carolina,Fall,Student Headcount,1,1,,,,,1,1,,
Mecklenburg,In-State,North Carolina,Fall,% of Total Student Headcount along County,9.00%,10.10%,10.00%,9.70%,8.40%,8.50%,8.70%,8.90%,8.90%,10.20%
Mecklenburg,In-State,North Carolina,Fall,Student Headcount,38,43,46,46,45,44,47,51,49,57
Mitchell,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,,,0.20%,,0.20%,,,0.20%,0.20%
Mitchell,In-State,North Carolina,Fall,Student Headcount,1,,,1,,1,,,1,1
Montgomery,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,,0.20%,0.20%,
Montgomery,In-State,North Carolina,Fall,Student Headcount,,,,,,,,1,1,
Moore,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,1.20%,1.50%,1.10%,0.90%,1.00%,0.20%,0.70%,0.50%,0.50%
Moore,In-State,North Carolina,Fall,Student Headcount,4,5,7,5,5,5,1,4,3,3
Nash,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.50%,0.70%,0.40%,0.40%,0.20%,,,,0.20%,0.20%
Nash,In-State,North Carolina,Fall,Student Headcount,2,3,2,2,1,,,,1,1
New Hanover,In-State,North Carolina,Fall,% of Total Student Headcount along County,1.40%,2.80%,3.50%,2.30%,2.60%,1.70%,1.30%,1.40%,1.50%,1.40%
New Hanover,In-State,North Carolina,Fall,Student Headcount,6,12,16,11,14,9,7,8,8,8
Onslow,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.90%,0.70%,0.70%,0.60%,0.60%,0.60%,0.40%,0.40%,0.40%,0.50%
Onslow,In-State,North Carolina,Fall,Student Headcount,4,3,3,3,3,3,2,2,2,3
Orange,In-State,North Carolina,Fall,% of Total Student Headcount along County,5.00%,5.60%,5.70%,4.40%,4.30%,2.90%,2.60%,3.70%,2.90%,2.70%
Orange,In-State,North Carolina,Fall,Student Headcount,21,24,26,21,23,15,14,21,16,15
Pamlico,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.20%,,,,,,,,
Pamlico,In-State,North Carolina,Fall,Student Headcount,,1,,,,,,,,
Pasquotank,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,
Pasquotank,In-State,North Carolina,Fall,Student Headcount,,,1,1,1,1,1,1,1,
Pender,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.20%,0.20%,0.40%,0.60%,0.40%,0.60%,0.50%,0.20%,0.20%
Pender,In-State,North Carolina,Fall,Student Headcount,,1,1,2,3,2,3,3,1,1
Perquimans,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.20%,0.20%,0.40%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%,0.20%
Perquimans,In-State,North Carolina,Fall,Student Headcount,1,1,2,1,1,1,1,1,1,1
Person,In-State,North Carolina,Fall,% of Total Student Headcount along County,,,,,,,0.20%,0.20%,0.20%,0.20%
Person,In-State,North Carolina,Fall,Student Headcount,,,,,,,1,1,1,1
Pitt,In-State,North Carolina,Fall,% of Total Student Headcount along County,0.70%,0.20%,0.40%,0.60%,0.70%,1.50%,1.70%,1.40%,2.00%,1.40%
Pitt,In-State,North Carolina,Fall,Student Headcount,3,1,2,3,4,8,9,8,11,8
Polk,In-State,North Carolina,Fall,% of Total Student Headcount along County,,0.50%,0.70%,0.40%,0.40%,0.20%,,,,
