COUNTYNAME,URBAN_RURAL,METRO_NONMETRO,CENTRAL_OUTLYING
Alamance,Urban,Metropolitan,Central
Alexander,Urban,Metropolitan,Outlying
Alleghany,Rural,,
Anson,Rural,,
Ashe,Rural,,
Avery,Rural,,
Beaufort,Rural,,
Bertie,Rural,,
Bladen,Rural,,
Brunswick,Urban,Metropolitan,Central
Buncombe,Urban,Metropolitan,Central
Burke,Urban,Metropolitan,Central
Cabarrus,Urban,Metropolitan,Outlying
Caldwell,Urban,Metropolitan,Central
Camden,Rural,,
Carteret,Rural,,
Caswell,Rural,,
Catawba,Urban,Metropolitan,Central
Chatham,Urban,Metropolitan,Central
Cherokee,Rural,,
Chowan,Rural,,
Clay,Rural,,
Cleveland,Rural,,
Columbus,Rural,,
Craven,Urban,Metropolitan,Central
Cumberland,Urban,Metropolitan,Central
Currituck,Urban,Metropolitan,Outlying
Dare,Rural,,
Davidson,Urban,Metropolitan,Central
Davie,Urban,Metropolitan,Central
Duplin,Rural,,
Durham,Urban,Metropolitan,Central
Edgecombe,Urban,Metropolitan,Central
Forsyth,Urban,Metropolitan,Central
Franklin,Urban,Metropolitan,Outlying
Gaston,Urban,Metropolitan,Outlying
Gates,Urban,Metropolitan,Outlying
Graham,Rural,,
Granville,Rural,,
Greene,Rural,,
Guilford,Urban,Metropolitan,Central
Halifax,Rural,,
Harnett,Rural,,
Haywood,Urban,Metropolitan,Central
Henderson,Urban,Metropolitan,Central
Hertford,Rural,,
Hoke,Urban,Metropolitan,Central
Hyde,Rural,,
Iredell,Urban,Metropolitan,Central
Jackson,Rural,,
Johnston,Urban,Metropolitan,Central
Jones,Urban,Metropolitan,Outlying
Lee,Rural,,
Lenoir,Rural,,
Lincoln,Urban,Metropolitan,Outlying
McDowell,Rural,,
Macon,Rural,,
Madison,Urban,Metropolitan,Outlying
Martin,Rural,,
Mecklenburg,Urban,Metropolitan,Central
Mitchell,Rural,,
Montgomery,Rural,,
Moore,Rural,,
Nash,Urban,Metropolitan,Central
New Hanover,Urban,Metropolitan,Central
Northampton,Rural,,
Onslow,Urban,Metropolitan,Central
Orange,Urban,Metropolitan,Central
Pamlico,Urban,Metropolitan,Outlying
Pasquotank,Rural,,
Pender,Urban,Metropolitan,Outlying
Perquimans,Rural,,
Person,Urban,Metropolitan,Outlying
Pitt,Urban,Metropolitan,Central
Polk,Rural,,
Randolph,Urban,Metropolitan,Outlying
Richmond,Rural,,
Robeson,Rural,,
Rockingham,Urban,Metropolitan,Outlying
Rowan,Urban,Metropolitan,Outlying
Rutherford,Rural,,
Sampson,Rural,,
Scotland,Rural,,
Stanly,Rural,,
Stokes,Urban,Metropolitan,Central
Surry,Rural,,
Swain,Rural,,
Transylvania,Rural,,
Tyrrell,Rural,,
Union,Urban,Metropolitan,Central
Vance,Rural,,
Wake,Urban,Metropolitan,Central
Warren,Rural,,
Washington,Rural,,
Watauga,Rural,,
Wayne,Urban,Metropolitan,Central
Wilkes,Rural,,
Wilson,Rural,,
Yadkin,Urban,Metropolitan,Outlying
Yancey,Rural,,
